"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.872739986208201 0.130544680352712 0.860185172321344 0.12968862261686 6.68537380343797 2.30335937454189e-11 6.18245440816238e-11
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 1.35781060708404 0.138903132369937 1.3371810403821 0.138096939935963 9.77523389082268 1.43824745069631e-22 7.44759590786514e-22
"Rv0003" "Rv0003" "recF" 906.009802633035 -0.54196702741191 0.123242776036772 -0.534811667850482 0.122454175428971 -4.39755614763336 1.09476569375492e-05 1.93878048230645e-05
"Rv0004" "Rv0004" "" 688.789361336292 -0.870379821784767 0.11394764191404 -0.860801011717613 0.113376642633629 -7.63841890156328 2.19905396785891e-14 7.09841685213281e-14
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.321858816993919 0.118189885536619 0.317903213541431 0.117469924199874 2.72323486508664 0.00646460818166504 0.00900940632301889
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.0263772354886474 0.0776099466225269 -0.0262354570310178 0.0774011041947486 -0.339869264656745 0.733954983546025 0.757934171455919
"Rv0007" "Rv0007" "" 4214.0390689485 -0.487266092016041 0.126356901868905 -0.48048722532297 0.125498864624723 -3.85626811681075 0.000115131207212105 0.000187580783379392
"Rv0008c" "Rv0008c" "" 331.684349926798 0.157392820707501 0.175428888307539 0.153186352369328 0.173075117821987 0.897188725448572 0.36961822034739 0.403749402430892
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 1.03875832859682 0.158167779884146 1.01739550013485 0.156747179335242 6.56744584363321 5.11856183828409e-11 1.34107677871754e-10
"Rv0010c" "Rv0010c" "" 1936.35496712783 0.136694719927321 0.127288251394715 0.134741409711185 0.126377437417218 1.07389895319905 0.282867972566601 0.315709423618825
"Rv0011c" "Rv0011c" "" 1767.20301988517 1.08808753480881 0.191777291973701 1.05573513518899 0.189310999925792 5.67370371961462 1.39742738383771e-08 3.10356132295828e-08
"Rv0012" "Rv0012" "" 1606.01669604651 -0.0783056127657441 0.133118495643575 -0.0770828984171152 0.132075819505151 -0.588239916528262 0.55637126822158 0.589020064507894
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.0978655706064162 0.102574082910411 -0.0969515334477452 0.102094471797723 -0.954096471833849 0.34003481185122 0.373707243845388
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -1.69095618741192 0.1199932066269 -1.67297547451668 0.119604122388801 -14.0920993358373 4.24744650138812e-45 6.01493230357865e-44
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -2.40252597829544 0.156420641795416 -2.36722171850814 0.156195269027819 -15.3593921538676 3.06434203158316e-53 5.63126296129537e-52
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -1.56631745457893 0.0963338220460497 -1.55524277165982 0.0961068609239102 -16.2592682539908 1.92017516057222e-59 4.68309386384001e-58
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -1.02228967826815 0.120659432756639 -1.00991260818243 0.120021612649925 -8.47252183200651 2.40136650089133e-17 9.2926533251926e-17
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -1.63221323117683 0.120159792860644 -1.61457626743484 0.119744826909288 -13.5836887890594 5.00413337982738e-42 6.31671916412077e-41
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -1.5894664398595 0.145013367756693 -1.56433189731513 0.144250480880941 -10.960827022005 5.89580958491908e-28 3.9415133113393e-27
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -1.09351305896317 0.145603997903195 -1.07452571414892 0.144521953341221 -7.51018567285627 5.90435600975867e-14 1.85881359319175e-13
"Rv0021c" "Rv0021c" "" 1011.45778980664 0.0491017617301708 0.129353296317488 0.0483769141336133 0.128395237556079 0.379594205389665 0.704246662857 0.73011770268906
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 1.40613740087101 0.249196993609421 1.34016377759149 0.24467725426249 5.6426740166654 1.67429170474444e-08 3.69973519320206e-08
"Rv0023" "Rv0023" "" 710.847205695778 -3.1290009597512 0.207972231046573 -3.0680613537156 0.208914771597523 -15.0452824591303 3.70747776148715e-51 6.25993360497253e-50
"Rv0024" "Rv0024" "" 950.082277417361 -3.24536993771329 0.182289097244016 -3.19951889081082 0.18312314331159 -17.8034231711015 6.64783172722185e-71 2.40968652791317e-69
"Rv0025" "Rv0025" "" 448.703168725382 -1.23750748918311 0.179599744942145 -1.20578521338297 0.17772149244672 -6.89036328855453 5.56500853646847e-12 1.56160147212975e-11
"Rv0026" "Rv0026" "" 1352.53563996149 -0.545827039473931 0.119414297920276 -0.539056744768857 0.118696991891227 -4.57086838829247 4.85707269629702e-06 8.8597849598659e-06
"Rv0027" "Rv0027" "" 398.199547856191 1.19431139014956 0.131661002630923 1.17754109543775 0.130901008009315 9.07110963978827 1.17811030328641e-19 5.22414568831045e-19
"Rv0028" "Rv0028" "" 485.559711362201 1.17918925118296 0.133213982364587 1.16220596502919 0.132420244055498 8.85184295411043 8.60857795734166e-19 3.6454974822569e-18
"Rv0029" "Rv0029" "" 1176.27162722634 0.981224329981343 0.0826468120179982 0.975582068465596 0.0824375029059356 11.8725006569843 1.64476591795466e-32 1.39153536227813e-31
"Rv0030" "Rv0030" "" 207.123707402898 1.5034932868435 0.158943964856414 1.47451345320337 0.157859720789965 9.45926627790949 3.10111537545827e-21 1.50153270201417e-20
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.430763588150326 0.147585594954081 -0.422612466722115 0.146211888878182 -2.91873734888796 0.00351452208580247 0.00504574010210958
"Rv0034" "Rv0034" "" 38.1746943106114 -0.104512459308173 0.419823435399317 -0.0905682365750819 0.390840823906359 -0.248943842805643 0.803404220947527 0.821493291139668
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -0.0526455459179922 0.162194015501679 -0.0514358321824289 0.16032026931485 -0.324583775518199 0.745496108188715 0.769048335105382
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.219755889205791 0.0993608230788549 -0.217832900963844 0.0989275255781753 -2.21169553951247 0.0269877089176249 0.0348345109224227
"Rv0037c" "Rv0037c" "" 1616.31328269221 0.725101183618438 0.137770841417846 0.713342241101785 0.136718268462761 5.2630961396198 1.41649458756564e-07 2.89827556471872e-07
"Rv0038" "Rv0038" "" 2372.46023123897 0.115684037152083 0.115278808399897 0.11432362157345 0.114600000901742 1.00351520594124 0.31561234395296 0.349491135358225
"Rv0039c" "Rv0039c" "" 499.191482706655 -1.01249630272789 0.233266271876785 -0.968237349774995 0.22871237928457 -4.3405173606183 1.42147636916116e-05 2.49722238086071e-05
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -0.856000032056509 0.157609663730556 -0.838152349441776 0.156100748507586 -5.43113925755149 5.59954153740777e-08 1.18945100076872e-07
"Rv0041" "Rv0041" "leuS" 3161.94748763865 0.0864577351308531 0.106740714175647 0.0855840109467595 0.106200450201754 0.809978983170217 0.417952255012405 0.452915348204611
"Rv0042c" "Rv0042c" "" 1093.67262185408 -0.82574186480876 0.14395042259723 -0.811280298578963 0.142786604661782 -5.73629343985442 9.67709423439876e-09 2.17239768864259e-08
"Rv0043c" "Rv0043c" "" 708.140239408333 0.276563146612797 0.110090463171836 0.27360388800295 0.109505011547845 2.51214445506619 0.011999995676656 0.0161650129282196
"Rv0044c" "Rv0044c" "" 596.722755759483 0.0632714382167203 0.112784062515276 0.0625584363700668 0.112147070468027 0.560996268494499 0.574800080989358 0.606094240722966
"Rv0045c" "Rv0045c" "" 1494.34585177975 1.1177270353938 0.168544749050858 1.09197055680788 0.166889646355425 6.63163368593897 3.31991661208518e-11 8.82110997602459e-11
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 2.5809529075601 0.158077829186054 2.54455457222597 0.158003037123167 16.3271024206841 6.33211493783426e-60 1.56363663246145e-58
"Rv0047c" "Rv0047c" "" 4487.76354232071 1.00021645431525 0.248374909349218 0.9508958648528 0.242868123162344 4.02704305735222 5.64826922898361e-05 9.4320844140804e-05
"Rv0048c" "Rv0048c" "" 2219.12688840085 1.1221376285668 0.115168445920587 1.1099101196055 0.114639305290917 9.74344682345163 1.96764652323501e-22 1.00441491127927e-21
"Rv0049" "Rv0049" "" 1674.57749787637 0.21536699066599 0.0985218855935483 0.213513573605616 0.0980992751327123 2.18598120984494 0.0288169800676053 0.0370624636221057
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 -0.130239507400921 0.11024143038014 -0.128837457204951 0.109647577888909 -1.18140255393841 0.237442843946112 0.268543714188132
"Rv0051" "Rv0051" "" 1916.57915438172 -0.844835039393923 0.0912883957935396 -0.838824859670898 0.0909914167479016 -9.25457208498466 2.15090225231297e-20 9.93943251331996e-20
"Rv0052" "Rv0052" "" 613.75342705192 -0.48893509607681 0.119758936400237 -0.482815260932472 0.119027739966928 -4.08266064122997 4.45230153839609e-05 7.51432865365354e-05
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 2.57845896183093 0.158738109776788 2.54175981929072 0.158659870452808 16.2434777978436 2.48431612486768e-59 5.98508110326354e-58
"Rv0054" "Rv0054" "ssb" 2388.79580833098 1.05172862795126 0.128468520345225 1.03737326711112 0.127709367639048 8.18666413472357 2.6856630907649e-16 9.88914713104578e-16
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 0.910746988370706 0.135535036485274 0.896699573115001 0.134590728347856 6.71964247760878 1.82170981098698e-11 4.94678725993785e-11
"Rv0056" "Rv0056" "rplI" 1597.30285260153 1.10670229604361 0.118760238733941 1.09386084281158 0.118175632195003 9.31879480743514 1.17669247353269e-20 5.48244335250901e-20
"Rv0057" "Rv0057" "" 1242.84114064111 -0.614199854091132 0.109574722007986 -0.607800145008816 0.109027657006786 -5.60530606727316 2.07887274750114e-08 4.5479657947824e-08
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 -0.224675213725525 0.20275464812291 -0.216749270300944 0.199165675120758 -1.10811375130264 0.267812692861272 0.299898353075863
"Rv0059" "Rv0059" "" 1193.17976237842 -0.606585200461334 0.206277595799108 -0.584842243155343 0.202697895664354 -2.94062570446129 0.00327550066927867 0.00471973127072212
"Rv0060" "Rv0060" "" 4082.12921081883 0.334986514374094 0.12380512020709 0.330477649712746 0.122979712575031 2.70575654555933 0.00681489866008602 0.00945423616783703
"Rv0061c" "Rv0061c" "" 3260.97761374593 2.09013082498443 0.136125385072532 2.06442485910803 0.13579843476934 15.3544529837014 3.30687052717533e-53 5.99332360223382e-52
"Rv0062" "Rv0062" "celA1" 843.734393404668 -0.632607861921839 0.182522680751896 -0.61472499695482 0.180041272856609 -3.46591371174164 0.000528432843418683 0.000816838092467613
"Rv0063" "Rv0063" "" 1329.89739883274 -0.146198609840832 0.135642246666563 -0.143832071120332 0.134542559827727 -1.0778250392757 0.281111843045946 0.313926764238139
"Rv0063a" "Rv0063a" "" 468.317403098905 0.42323300380503 0.175675824953203 0.411985738135355 0.173372352488999 2.40917043604475 0.0159888292631991 0.0212485248634038
"Rv0064" "Rv0064" "" 13963.4770264952 1.61214483136465 0.162467129022165 1.58041608053488 0.161413283912585 9.92289850302401 3.31001647038625e-23 1.76728041547244e-22
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 1.81323711712477 0.207710968319969 1.75807017937725 0.205897883046931 8.72961660036924 2.55537386967207e-18 1.04424879047367e-17
"Rv0065" "Rv0065" "vapC1" 719.495062856219 1.11162168916504 0.17142960652226 1.08512230471355 0.169683379809692 6.48442070022892 8.90733580251866e-11 2.29269601014666e-10
"Rv0066c" "Rv0066c" "icd2" 4145.09919173652 -0.336119081560839 0.144577055879983 -0.329985215335042 0.143268535329526 -2.32484386623463 0.0200803104445854 0.0263842057088649
"Rv0067c" "Rv0067c" "" 307.424455363887 -0.743347253035269 0.155441657435483 -0.728102801915178 0.153942413721895 -4.78216242221812 1.73419463326705e-06 3.27367558339135e-06
"Rv0068" "Rv0068" "" 283.139055122869 -0.166445816093891 0.149110229245389 -0.163204047537344 0.147655492166847 -1.11626021189984 0.264310767529852 0.296421187201375
"Rv0069c" "Rv0069c" "sdaA" 1075.51531863034 0.583545306607694 0.102704687720756 0.57818418146024 0.102250663879107 5.68177869538242 1.33301077411719e-08 2.965498630933e-08
"Rv0070c" "Rv0070c" "glyA2" 1113.5918913222 1.42685562251243 0.10649468131228 1.41419423290975 0.106149568278681 13.3983745003038 6.18019266461371e-41 7.42186663157714e-40
