"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 0.29661110906989 0.135058061141425 0.288810659425587 0.134412481666632 2.19617479003564 0.0280794350625335 0.0365903192388093
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.302152093451453 0.154923042192042 -0.292277725050441 0.153906925124905 -1.95033669089009 0.051136002225507 0.0646936742852956
"Rv0003" "Rv0003" "recF" 906.009802633035 -1.62946944159103 0.17547702693067 -1.60706080418984 0.174438820605017 -9.28594169899414 1.60283454146439e-20 5.92404048019253e-20
"Rv0004" "Rv0004" "" 688.789361336292 -1.79657375737225 0.182556495360785 -1.77027736738823 0.181456115164811 -9.84119329099576 7.48180929556597e-23 3.06010647275167e-22
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.0621552283783841 0.119196671298783 0.0603037874945164 0.117466051235948 0.521451041385068 0.602052602790225 0.638065942495756
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -1.0822025492836 0.0816029123268711 -1.07881201043459 0.0814856731416385 -13.2618128253646 3.85463676542666e-40 3.00387965684433e-39
"Rv0007" "Rv0007" "" 4214.0390689485 -1.80508766647572 0.148442550722726 -1.78754412386171 0.14785207571011 -12.1601768339823 5.0648932766653e-34 3.20695406027317e-33
"Rv0008c" "Rv0008c" "" 331.684349926798 1.18681449996942 0.195479114544777 1.16589770007099 0.193954922356322 6.07131100799808 1.26870210056955e-09 2.83040203238299e-09
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -1.89250354257129 0.175262883701312 -1.86719546247268 0.17432796358805 -10.798085154165 3.51456570632621e-27 1.7422897246794e-26
"Rv0010c" "Rv0010c" "" 1936.35496712783 -1.08456051319343 0.148908530816537 -1.0733005684996 0.148227950270127 -7.28340080481799 3.25508290074905e-13 8.73104721035948e-13
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.226601433774486 0.20647192799165 -0.213819071624653 0.202167672506619 -1.09749270023599 0.272426070048815 0.309031123388707
"Rv0012" "Rv0012" "" 1606.01669604651 0.483200973991442 0.142558480055234 0.474324293359012 0.142852343664602 3.38949302633015 0.000700219898883651 0.00105958208368032
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.301445603478613 0.129694622006912 -0.294127179402875 0.129176473396123 -2.32427219274017 0.020110910190504 0.026548014087097
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -1.88638340063315 0.137077656432421 -1.87085990547866 0.136628586593224 -13.761421443349 4.34891297786254e-43 3.66365781994348e-42
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -1.70610272838958 0.1694916906418 -1.68434314140511 0.168579790240925 -10.0659962853001 7.80926109717411e-24 3.28938066044082e-23
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -1.39795622849092 0.114987592724844 -1.38947513673933 0.114674332376359 -12.1574527769802 5.23661594561268e-34 3.30509099059356e-33
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -1.59402325334493 0.14303155163832 -1.57934315435827 0.142461693833497 -11.1445568134204 7.61223162161644e-29 4.11999001876802e-28
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -1.18615159223661 0.131381551402324 -1.17663427319206 0.130899159160847 -9.02829643565636 1.74364953899963e-19 6.15653201839816e-19
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.859197607869931 0.156587431494525 -0.848697482965683 0.156092899408826 -5.48701514335762 4.08782102150226e-08 8.35107593379287e-08
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.466853856537945 0.14760824278722 -0.457294199933889 0.147859096651976 -3.16278988031125 0.00156265073845728 0.00230804974491391
"Rv0021c" "Rv0021c" "" 1011.45778980664 1.47613444346475 0.134558186813555 1.46397276868166 0.134066892401259 10.9702313803477 5.31362442894316e-28 2.75513518618824e-27
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 0.213540347009696 0.527075650277239 0.17845122978564 0.483338214845723 0.405141741792425 0.685373325287357 0.717118295293765
"Rv0023" "Rv0023" "" 710.847205695778 -2.27015843503564 0.265379474202351 -2.20483845857638 0.262785587250432 -8.55438591043651 1.18497855449923e-17 3.84388363614651e-17
"Rv0024" "Rv0024" "" 950.082277417361 -0.799014068565351 0.183010654285475 -0.78490290746019 0.182548425481333 -4.36594291018152 1.26575538947486e-05 2.20599891654837e-05
"Rv0025" "Rv0025" "" 448.703168725382 -0.125566374716216 0.205086205030196 -0.117844247280996 0.199237782201301 -0.612261437563428 0.540364798985524 0.57889949045331
"Rv0026" "Rv0026" "" 1352.53563996149 0.404885837940133 0.133497063975746 0.396847221826735 0.133566382095256 3.03291942071246 0.00242200263706439 0.00351297078525749
"Rv0027" "Rv0027" "" 398.199547856191 0.343890858251154 0.189216719624287 0.329581483182186 0.187743483507673 1.81744435129196 0.0691491019077851 0.0861311795831207
"Rv0028" "Rv0028" "" 485.559711362201 0.52507672988012 0.176664093411709 0.511781352564347 0.176949407186731 2.97217572478889 0.00295697388719032 0.00425920664538423
"Rv0029" "Rv0029" "" 1176.27162722634 0.304036268979638 0.114712996186286 0.298119858903378 0.114406488908873 2.65040822825256 0.00803945651583044 0.0111491374847477
"Rv0030" "Rv0030" "" 207.123707402898 1.55884021090989 0.199356834175335 1.53112222166749 0.19780491652759 7.81934673751331 5.30981659633135e-15 1.53692933128976e-14
"Rv0032" "Rv0032" "bioF2" 348.639663421628 -0.297896156350065 0.199017263378732 -0.28342384604014 0.196409624372496 -1.49683575832899 0.134435999370779 0.159890618155914
"Rv0034" "Rv0034" "" 38.1746943106114 -0.467127969486673 0.561285161491842 -0.388479801895567 0.517569815254954 -0.832247138415509 0.405269461554033 0.445401847732958
"Rv0035" "Rv0035" "fadD34" 685.945019115433 -1.01181283740979 0.2111295434599 -0.990386374233044 0.209532885530965 -4.79237922286307 1.64814992250241e-06 3.05147157629195e-06
"Rv0036c" "Rv0036c" "" 1290.68514800702 -0.843261666943674 0.133944380761396 -0.835716387479361 0.133629536381508 -6.29561062696486 3.06192094747472e-10 7.02534823662753e-10
"Rv0037c" "Rv0037c" "" 1616.31328269221 -0.18581354118385 0.154117907688259 -0.17850737770206 0.151803727967384 -1.20565834282998 0.227949253378483 0.262420600261767
"Rv0038" "Rv0038" "" 2372.46023123897 1.03432010479461 0.118963804537219 1.02741608761048 0.118615147023225 8.69441010917753 3.48636285008828e-18 1.15462025320191e-17
"Rv0039c" "Rv0039c" "" 499.191482706655 0.504437800955124 0.248950686183606 0.479354391147442 0.247531560457497 2.02625591713811 0.0427385661478793 0.0547891222745851
"Rv0040c" "Rv0040c" "mtc28" 2142.36466590817 -1.26958065649871 0.179274682169729 -1.25085134830946 0.178076302661665 -7.08176213803981 1.42332815637823e-12 3.69728438254464e-12
"Rv0041" "Rv0041" "leuS" 3161.94748763865 -0.388822157028579 0.117289479711129 -0.382492733560443 0.11735016906848 -3.31506421536019 0.000916220745918169 0.00137642135632041
"Rv0042c" "Rv0042c" "" 1093.67262185408 -1.68893692842696 0.190802027125029 -1.66169265461549 0.189495076602734 -8.8517766497325 8.61369490290764e-19 2.94910819422774e-18
"Rv0043c" "Rv0043c" "" 708.140239408333 -1.02817745346871 0.177942583527466 -1.0128132194439 0.176883177475591 -5.77814165157386 7.55302079236906e-09 1.62008605595278e-08
"Rv0044c" "Rv0044c" "" 596.722755759483 -1.29255689044709 0.187850732284967 -1.27168568030794 0.186478887350878 -6.88076577996143 5.95316633235619e-12 1.50197702293354e-11
"Rv0045c" "Rv0045c" "" 1494.34585177975 1.39649864532715 0.175703577112376 1.37688294585283 0.174593716810301 7.94803764543724 1.89489077493702e-15 5.56219424351868e-15
"Rv0046c" "Rv0046c" "ino1" 20202.6230338134 3.03524470765895 0.158477262264249 3.00832528248132 0.158402541871282 19.1525564254 9.21500802532615e-82 1.95744605957331e-80
"Rv0047c" "Rv0047c" "" 4487.76354232071 3.03247781947803 0.249409418386941 2.96635689488388 0.24901316658809 12.1586339404928 5.1614572989987e-34 3.26286684613502e-33
"Rv0048c" "Rv0048c" "" 2219.12688840085 2.68144666240553 0.115260061385058 2.66763732816365 0.115136652824043 23.2643174937017 1.01901915332316e-119 4.90993253021929e-118
"Rv0049" "Rv0049" "" 1674.57749787637 0.893127969821453 0.105939171743113 0.888269613281287 0.105732811045711 8.430573461412 3.43975369687294e-17 1.09160376356185e-16
"Rv0050" "Rv0050" "ponA1" 8801.62708878866 -0.29436614374308 0.114122603126655 -0.288559090882924 0.113769980558249 -2.57938511458932 0.00989763748146786 0.0135641920531667
"Rv0051" "Rv0051" "" 1916.57915438172 -1.30504031496796 0.123011577597166 -1.2959275681629 0.122620454514964 -10.6090852622154 2.70383127418495e-26 1.27785135936659e-25
"Rv0052" "Rv0052" "" 613.75342705192 -0.946056484705349 0.174711131863831 -0.932134834285459 0.173839025668236 -5.41497542035675 6.12971257418774e-08 1.23816433438731e-07
"Rv0053" "Rv0053" "rpsF" 1457.52982059754 0.702586558133803 0.172595332798612 0.690348350605164 0.172574414390667 4.07071585738415 4.68688891100855e-05 7.8134591086054e-05
"Rv0054" "Rv0054" "ssb" 2388.79580833098 -0.0374856508694628 0.144619416396879 -0.0359719492701239 0.141700775088767 -0.259202061544702 0.795479340566638 0.821253952071803
"Rv0055" "Rv0055" "rpsR1" 646.973007126315 -0.883332360218374 0.200522642054606 -0.865574914531816 0.199548652971213 -4.4051502172898 1.05710597806383e-05 1.84806447757974e-05
"Rv0056" "Rv0056" "rplI" 1597.30285260153 -0.958718224361462 0.149830103792145 -0.948420936647424 0.149224687862259 -6.39870226407548 1.56703063142303e-10 3.6505530806323e-10
"Rv0057" "Rv0057" "" 1242.84114064111 -1.49254701054307 0.164365263588762 -1.47430064406799 0.163476043851858 -9.08067177915031 1.0790676299502e-19 3.84783051077009e-19
"Rv0058" "Rv0058" "dnaB" 8453.32555990867 -1.3969990221714 0.208668882060757 -1.36948592385638 0.206824898487885 -6.69481241464954 2.15948463762303e-11 5.28959938205121e-11
"Rv0059" "Rv0059" "" 1193.17976237842 -1.61452329867104 0.246758181525581 -1.5711702534718 0.243881331335247 -6.54293725415408 6.03221440961734e-11 1.44356627089025e-10
"Rv0060" "Rv0060" "" 4082.12921081883 0.140457578594278 0.131025928722074 0.135903175887601 0.129219285859407 1.07198307971707 0.283727632067844 0.321113684989989
"Rv0061c" "Rv0061c" "" 3260.97761374593 0.0124422226342861 0.14459271889997 0.011937571143875 0.141633530112077 0.0860501325996486 0.931426564932876 0.941434217971296
"Rv0062" "Rv0062" "celA1" 843.734393404668 -1.1980978607369 0.215628561901727 -1.17249658583766 0.213618585504513 -5.55630409149107 2.75546661784483e-08 5.6939584765193e-08
"Rv0063" "Rv0063" "" 1329.89739883274 -0.78371134762434 0.174986932772187 -0.770935765958114 0.174628891572358 -4.47868498069305 7.5104271799038e-06 1.3264952073223e-05
"Rv0063a" "Rv0063a" "" 468.317403098905 1.3841832742044 0.182803283442509 1.36314362388193 0.181552152332868 7.57198256036645 3.67570820106041e-14 1.03511925177403e-13
"Rv0064" "Rv0064" "" 13963.4770264952 2.75078079374727 0.162872066227578 2.72304144690811 0.16256711126659 16.8892116214923 5.40200080033188e-64 8.24065836374952e-63
"Rv0064A" "Rv0064A" "vapB1" 276.055151389626 3.42500020293871 0.220538203928554 3.37369922639719 0.221100107632616 15.5301899712953 2.16736790866217e-54 2.58709081786231e-53
"Rv0065" "Rv0065" "vapC1" 719.495062856219 2.1965672303973 0.177418904408061 2.16757860026778 0.176604359975566 12.3806830942052 3.32500673049555e-35 2.20791623398116e-34
"Rv0066c" "Rv0066c" "icd2" 4145.09919173652 -0.927515756709937 0.152922750966129 -0.917036905368441 0.152326772071327 -6.06525681005683 1.31742973448139e-09 2.93083608160808e-09
"Rv0067c" "Rv0067c" "" 307.424455363887 -0.344215343094857 0.228584836148811 -0.325123064912229 0.225415138914368 -1.50585379544061 0.132104709930348 0.157354750960146
"Rv0068" "Rv0068" "" 283.139055122869 -0.481364088644041 0.249640131791632 -0.45645409891029 0.247886817623061 -1.92823199214549 0.0538262765642686 0.0679883691513508
