"RV" "Gene" "baseMean" "log2FoldChange_raw" "lfcSE_raw" "log2FoldChange_shrunken" "lfcSE_shrunken" "stat" "pvalue" "BH"
"Rv0001" "Rv0001" "dnaA" 5371.20052987511 -0.386882495610181 0.131182468188155 -0.381979217111672 0.130953654211745 -2.94919359998072 0.00318604321841246 0.00427003282087775
"Rv0002" "Rv0002" "dnaN" 1832.19396863765 -0.970821263702919 0.140770267512531 -0.961194589881959 0.140132402350486 -6.89649370465604 5.33017262626688e-12 1.11367065290219e-11
"Rv0003" "Rv0003" "recF" 906.009802633035 -1.84589849349672 0.132448748354737 -1.83125476974008 0.132074334269143 -13.9367001683765 3.79064973302371e-44 2.24877734161812e-43
"Rv0004" "Rv0004" "" 688.789361336292 -2.16558940462488 0.122936365105378 -2.15156229934498 0.122698025174558 -17.6155314399331 1.87222595133815e-69 2.11347563821058e-68
"Rv0005" "Rv0005" "gyrB" 37389.2245147014 0.645762497937984 0.118269100099936 0.640932236569542 0.117974206468826 5.46011170620494 4.75835096075078e-08 8.42304867649029e-08
"Rv0006" "Rv0006" "gyrA" 25228.0641755816 -0.375989583148673 0.0779426225916412 -0.374240378803868 0.077925852440441 -4.82392779004328 1.40758394889155e-06 2.27644870326259e-06
"Rv0007" "Rv0007" "" 4214.0390689485 -1.12267448619106 0.127372643702269 -1.11366462536149 0.126913111057139 -8.81409424786133 1.20656524613477e-18 3.24737008683821e-18
"Rv0008c" "Rv0008c" "" 331.684349926798 0.788939402963295 0.155514743320022 0.779171644961282 0.154714294124316 5.07308430133724 3.91418989163132e-07 6.56965346721978e-07
"Rv0009" "Rv0009" "ppiA" 3514.43359966566 -2.41618714938126 0.160508473077524 -2.39087346715209 0.160082167141627 -15.0533308494827 3.28280724114925e-51 2.32028111087311e-50
"Rv0010c" "Rv0010c" "" 1936.35496712783 -1.49649155483949 0.12984712547072 -1.48450510499422 0.129422946455599 -11.525026444863 9.86818986813898e-31 4.02781179431995e-30
"Rv0011c" "Rv0011c" "" 1767.20301988517 -0.607394467012918 0.194823638075479 -0.594520690032856 0.19366219202339 -3.11766309783004 0.00182291052612941 0.00248270234013695
"Rv0012" "Rv0012" "" 1606.01669604651 -0.172076440395205 0.131672342254104 -0.168830022173724 0.13072930958541 -1.3068533410238 0.19126252518153 0.214925550907914
"Rv0013" "Rv0013" "trpG" 1583.44287262839 -0.889332343455822 0.105148292826248 -0.88435489133523 0.104877814893241 -8.4578866622723 2.72266538397124e-17 6.94464230604931e-17
"Rv0014c" "Rv0014c" "pknB" 4483.87326795044 -2.32485597041815 0.122116638472413 -2.31044507588673 0.121913387183099 -19.0379951454637 8.26305697613771e-81 1.2955292901873e-79
"Rv0015c" "Rv0015c" "pknA" 4198.56787879001 -1.92894648312408 0.155111339997503 -1.90829320862589 0.154540033487971 -12.4358830447544 1.66886280305213e-35 7.82168082426925e-35
"Rv0016c" "Rv0016c" "pbpA" 3912.41311856665 -1.77888752224923 0.098302819041009 -1.77100545033393 0.0981436560804434 -18.0959970385705 3.42686030717226e-73 4.32572686058709e-72
"Rv0017c" "Rv0017c" "rodA" 3033.11586411009 -1.86456725733076 0.124205075888941 -1.85158553464352 0.123900002368741 -15.0120052983823 6.12670728512321e-51 4.30722784404302e-50
"Rv0018c" "Rv0018c" "pstP" 5343.74395204425 -1.27663924898639 0.120168636367819 -1.26764718236173 0.119801294165211 -10.6237308466976 2.31134635472231e-26 8.26437054073108e-26
"Rv0019c" "Rv0019c" "fhaB" 2506.65309314916 -0.899684462582524 0.144373473721092 -0.890239131564838 0.143688410938045 -6.23164657186667 4.61557860001361e-10 8.88268438804372e-10
"Rv0020c" "Rv0020c" "fhaA" 17338.5004553045 -0.683553692215982 0.145334548335091 -0.675924266528557 0.144763136605593 -4.70331177305444 2.55975081340449e-06 4.08959784220022e-06
"Rv0021c" "Rv0021c" "" 1011.45778980664 1.39512182079703 0.118778904762365 1.38564360120172 0.118439793325589 11.7455353169671 7.44495610142746e-32 3.13927658022838e-31
"Rv0022c" "Rv0022c" "whiB5" 56.4273183674256 2.85102635464039 0.23686119380565 2.79232852017697 0.236026428230457 12.0366967202729 2.27899777070036e-33 1.00832252990337e-32
