target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	114.914	7413	885.741
NC_000962.3:c2156111-2153889	2223	2047	35569	238.583
NC_000962.3:759807-763325	3519	3343	82347	338.218
NC_000962.3:c2289241-2288681	561	384.999	1054	37.5895
NC_000962.3:1674202-1675011	810	633.999	729	15.7879
NC_000962.3:c3499915-3499262	654	477.999	9433	270.962
NC_000962.3:c17470-15590	1881	1705	1153	9.28517
NC_000962.3:851608-852351	744	567.999	943	22.7955
NC_000962.3:c2278932-2278498	435	259.123	208914	11070
NC_000962.3:c2715332-2714124	1209	1033	236	3.13687
NC_000962.3:7302-9818	2517	2341	7691	45.1093
NC_000962.3:565797-566396	600	423.999	2768	89.6368
NC_000962.3:5240-7267	2028	1852	7565	56.0858
NC_000962.3:4352274-4352576	303	129.099	10009	1064.51
NC_000962.3:c2409524-2408385	1140	963.999	336	4.78572
NC_000962.3:c497314-495062	2253	2077	3049	20.1561
NC_000962.3:c3499265-3497529	1737	1561	22414	197.152
NC_000962.3:1128091-1129179	1089	912.999	1336	20.0919
NC_000962.3:c3051424-3049052	2373	2197	726	4.53724
NC_000962.3:c4087257-4084453	2805	2629	2872	14.9996
NC_000962.3:557527-558813	1287	1111	22332	275.994
NC_000962.3:4246514-4249810	3297	3121	897	3.94624
NC_000962.3:c2224029-2223343	687	510.999	1028	27.6222
NC_000962.3:c2062674-2061178	1497	1321	1411	14.6659
NC_000962.3:c2370792-2370598	195	45.435	486	146.869
NC_000962.3:4314178-4314723	546	369.999	247	9.16603
NC_000962.3:c4266658-4265642	1017	840.999	8803	143.721
NC_000962.3:1673440-1674183	744	567.999	580	14.0206
NC_000962.3:2507146-2507637	492	316.022	143	6.21303
NC_000962.3:c2135867-2134890	978	801.999	1052	18.0105
NC_000962.3:351848-352138	291	117.772	6039	704.057
NC_000962.3:c1220186-1219248	939	762.999	231	4.15693
NC_000962.3:c2134872-2134273	600	423.999	283	9.16445
NC_000962.3:1833542-1834987	1446	1270	11693	126.418
NC_000962.3:2066457-2068883	2427	2251	4894	29.852
NC_000962.3:c18762-17467	1296	1120	862	10.5676
NC_000962.3:c1138060-1136573	1488	1312	1390	14.5468
NC_000962.3:1471846-1473382	1537	1361	12726	128.386
NC_000962.3:4351075-4352181	1107	930.999	2687	39.6281
NC_000962.3:c3067945-3067193	753	576.999	42	0.999446
NC_000962.3:528608-530230	1623	1447	6266	59.4576
NC_000962.3:c1299804-1298764	1041	864.999	2018	32.0325
NC_000962.3:c1133908-1133333	576	399.999	432	14.8289
NC_000962.3:c442299-441265	1035	858.999	1962	31.3611
NC_000962.3:c2456743-2455631	1113	936.999	239	3.50222
NC_000962.3:1046136-1048415	2280	2104	1277	8.33355
NC_000962.3:c2441720-2440332	1389	1213	1939	21.9484
NC_000962.3:c1744836-1744426	411	235.205	22	1.28429
NC_000962.3:c1101480-1101025	456	280.071	629	30.8367
NC_000962.3:c2405398-2404616	783	606.999	2344	53.0218
NC_000962.3:c3919200-3917998	1203	1027	486	6.49757
NC_000962.3:1364413-1365186	774	597.999	4921	112.989
NC_000962.3:c4152217-4151180	1038	861.999	844	13.4438
NC_000962.3:c1865382-1862347	3036	2860	1178	5.65541
NC_000962.3:c2179436-2178957	480	304.022	824	37.214
NC_000962.3:1352144-1353118	975	798.999	725	12.4588
NC_000962.3:c4261146-4255945	5202	5026	60511	165.309
NC_000962.3:c4025039-4024344	696	519.999	4223	111.507
NC_000962.3:198534-199898	1365	1189	3445	39.7826
NC_000962.3:c3362986-3361130	1857	1681	6036	49.3022
NC_000962.3:c3836891-3835272	1620	1444	4219	40.1169
NC_000962.3:c3907007-3906174	834	657.999	5079	105.983
NC_000962.3:1917940-1918746	807	630.999	449	9.77018
NC_000962.3:c3343820-3343176	645	468.999	4716	138.066
NC_000962.3:c1415840-1413960	1881	1705	1032	8.31075
NC_000962.3:2506278-2507153	876	699.999	182	3.56992
NC_000962.3:c858037-856682	1356	1180	637	7.41212
NC_000962.3:1816189-1817607	1419	1243	1510	16.6798
NC_000962.3:c4269833-4268925	909	732.999	727	13.6181
NC_000962.3:c3841420-3840194	1227	1051	292	3.81474
NC_000962.3:3086820-3087935	1116	939.999	28711	419.378
NC_000962.3:1002812-1003792	981	804.999	114	1.94444
NC_000962.3:3474007-3475377	1371	1195	214	2.45884
NC_000962.3:1973630-1976227	2598	2422	1480	8.39021
NC_000962.3:c3374620-3372545	2076	1900	514	3.71445
NC_000962.3:3023565-3024257	693	516.999	6266	166.412
NC_000962.3:c3627349-3626663	687	510.999	1680	45.1413
NC_000962.3:4116478-4117152	675	498.999	1601	44.0531
NC_000962.3:4209047-4209526	480	304.022	1568	70.8151
NC_000962.3:4356693-4357535	843	666.999	1375	28.305
NC_000962.3:c4025544-4025056	489	313.022	27445	1203.85
NC_000962.3:c2745724-2745314	411	235.205	353	20.6069
NC_000962.3:419835-421712	1878	1702	3897	31.4381
NC_000962.3:c516892-516017	876	699.999	112	2.19688
NC_000962.3:c247318-244484	2835	2659	20817	107.494
NC_000962.3:c3985445-3984144	1302	1126	551	6.71891
NC_000962.3:c1230971-1230660	312	137.643	414	41.2981
NC_000962.3:3834892-3835200	309	134.767	235	23.9425
NC_000962.3:1042115-1043239	1125	948.999	1273	18.4182
NC_000962.3:c2763774-2763172	603	426.999	4235	136.179
NC_000962.3:1870842-1871354	513	337.011	383	15.6041
NC_000962.3:4153740-4155674	1935	1759	2708	21.1382
NC_000962.3:1872639-1874051	1413	1237	822	9.12404
NC_000962.3:c462002-459456	2547	2371	3255	18.8497
NC_000962.3:1594042-1595982	1941	1765	658	5.11878
NC_000962.3:c309547-307877	1671	1495	1060	9.73531
NC_000962.3:c1967637-1965955	1683	1507	4258	38.7952
NC_000962.3:2518115-2519365	1251	1075	27577	352.228
NC_000962.3:c625480-624473	1008	831.999	525	8.66406
NC_000962.3:c3332754-3332071	684	507.999	608	16.4333
NC_000962.3:c639956-639012	945	768.999	377	6.73132
NC_000962.3:c2924820-2924230	591	414.999	10	0.330855
NC_000962.3:3786314-3787489	1176	999.999	263	3.61111
NC_000962.3:3031788-3032498	711	534.999	1276	32.7478
NC_000962.3:c2475970-2474864	1107	930.999	791	11.6657
NC_000962.3:2487615-2489051	1437	1261	3039	33.0903
NC_000962.3:898831-899787	957	780.999	16220	285.158
NC_000962.3:c1494425-1492320	2106	1930	1022	7.27074
NC_000962.3:c3223524-3221767	1758	1582	467	4.05318
NC_000962.3:c3183011-3181770	1242	1066	994	12.8031
NC_000962.3:89575-89919	345	169.814	1836	148.451
NC_000962.3:552614-554008	1395	1219	839	9.45025
NC_000962.3:c157600-156578	1023	846.999	525	8.51062
NC_000962.3:c1057963-1057646	318	143.394	503	48.164
