target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	108.534	24470	5626.01
NC_000962.3:c2156111-2153889	2223	2032.67	5883	72.2212
NC_000962.3:759807-763325	3519	3328.67	78498	588.465
NC_000962.3:c2289241-2288681	561	370.736	3494	235.175
NC_000962.3:1674202-1675011	810	619.667	4338	174.688
NC_000962.3:c3499915-3499262	654	463.684	1796	96.6533
NC_000962.3:c17470-15590	1881	1690.67	16963	250.367
NC_000962.3:851608-852351	744	553.667	3804	171.445
NC_000962.3:c2278932-2278498	435	245.753	73	7.41235
NC_000962.3:c2715332-2714124	1209	1018.67	439	10.7539
NC_000962.3:7302-9818	2517	2326.67	83582	896.418
NC_000962.3:565797-566396	600	409.684	4097	249.545
NC_000962.3:5240-7267	2028	1837.67	92791	1260
NC_000962.3:4352274-4352576	303	121.325	25387	5221.49
NC_000962.3:c2409524-2408385	1140	949.667	30183	793.091
NC_000962.3:c497314-495062	2253	2062.67	26506	320.662
NC_000962.3:c3499265-3497529	1737	1546.67	4164	67.1809
NC_000962.3:1128091-1129179	1089	898.667	3389	94.1033
NC_000962.3:c3051424-3049052	2373	2182.67	73303	838.043
NC_000962.3:c4087257-4084453	2805	2614.67	10375	99.0156
NC_000962.3:557527-558813	1287	1096.67	12350	281.012
NC_000962.3:4246514-4249810	3297	3106.67	8603	69.1015
NC_000962.3:c2224029-2223343	687	496.684	7892	396.496
NC_000962.3:c2062674-2061178	1497	1306.67	3618	69.0933
NC_000962.3:c2370792-2370598	195	43.219	1600	923.799
NC_000962.3:4314178-4314723	546	355.76	38530	2702.55
NC_000962.3:c4266658-4265642	1017	826.667	41240	1244.86
NC_000962.3:1673440-1674183	744	553.667	7631	343.926
NC_000962.3:2507146-2507637	492	302.021	892	73.6987
NC_000962.3:c2135867-2134890	978	787.667	1647.04	52.1787
NC_000962.3:351848-352138	291	110.976	7577	1703.73
NC_000962.3:c1220186-1219248	939	748.667	4723	157.421
NC_000962.3:c2134872-2134273	600	409.684	488	29.7237
NC_000962.3:1833542-1834987	1446	1255.67	24647	489.803
NC_000962.3:2066457-2068883	2427	2236.67	31197	348.052
NC_000962.3:c18762-17467	1296	1105.67	19410	438.06
NC_000962.3:c1138060-1136573	1488	1297.67	7488	143.991
NC_000962.3:1471846-1473382	1537	1346.67	6665	123.501
NC_000962.3:4351075-4352181	1107	916.667	21711	591.017
NC_000962.3:c3067945-3067193	753	562.667	357	15.8325
NC_000962.3:528608-530230	1623	1432.67	24328	423.734
NC_000962.3:c1299804-1298764	1041	850.667	1571	46.0838
NC_000962.3:c1133908-1133333	576	385.723	206	13.3267
NC_000962.3:c442299-441265	1035	844.667	9522	281.303
NC_000962.3:c2456743-2455631	1113	922.667	4956	134.035
NC_000962.3:1046136-1048415	2280	2089.67	21803	260.358
NC_000962.3:c2441720-2440332	1389	1198.67	10737	223.52
NC_000962.3:c1744836-1744426	411	222.204	1113	124.99
NC_000962.3:c1101480-1101025	456	266.414	2179	204.095
NC_000962.3:c2405398-2404616	783	592.667	23162	975.208
NC_000962.3:c3919200-3917998	1203	1012.67	2937	72.3718
NC_000962.3:1364413-1365186	774	583.667	11496	491.489
NC_000962.3:c4152217-4151180	1038	847.667	11086	326.349
NC_000962.3:c1865382-1862347	3036	2845.67	4107	36.0141
NC_000962.3:c2179436-2178957	480	290.109	5957	512.387
NC_000962.3:1352144-1353118	975	784.667	3309	105.231
NC_000962.3:c4261146-4255945	5202	5011.67	117460	584.844
NC_000962.3:c4025039-4024344	696	505.667	28987	1430.44
NC_000962.3:198534-199898	1365	1174.67	7843	166.609
NC_000962.3:c3362986-3361130	1857	1666.67	11896	178.108
NC_000962.3:c3836891-3835272	1620	1429.67	13547	236.451
NC_000962.3:c3907007-3906174	834	643.667	10541	408.651
NC_000962.3:1917940-1918746	807	616.667	2636	106.666
NC_000962.3:c3343820-3343176	645	454.684	27674	1518.78
NC_000962.3:c1415840-1413960	1881	1690.67	2942	43.4227
NC_000962.3:2506278-2507153	876	685.667	912	33.1905
