target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	110.369	11888	1985.81
NC_000962.3:c2156111-2153889	2223	2041.67	10553	95.2938
NC_000962.3:759807-763325	3519	3337.67	178888	988.126
NC_000962.3:c2289241-2288681	561	379.692	3366	163.44
NC_000962.3:1674202-1675011	810	628.673	2560	75.0741
NC_000962.3:c3499915-3499262	654	472.692	18345	715.508
NC_000962.3:c17470-15590	1881	1699.67	3519	38.1706
NC_000962.3:851608-852351	744	562.692	6277	205.663
NC_000962.3:c2278932-2278498	435	253.775	88541	6432.37
NC_000962.3:c2715332-2714124	1209	1027.67	1440	25.8335
NC_000962.3:7302-9818	2517	2335.67	33836	267.08
NC_000962.3:565797-566396	600	418.692	6638	292.293
NC_000962.3:5240-7267	2028	1846.67	59269	591.715
NC_000962.3:4352274-4352576	303	124.325	7413	1099.28
NC_000962.3:c2409524-2408385	1140	958.673	14059	270.37
NC_000962.3:c497314-495062	2253	2071.67	7095	63.1402
NC_000962.3:c3499265-3497529	1737	1555.67	41364	490.207
NC_000962.3:1128091-1129179	1089	907.673	5086	103.305
NC_000962.3:c3051424-3049052	2373	2191.67	16062	135.114
NC_000962.3:c4087257-4084453	2805	2623.67	8829	62.0407
NC_000962.3:557527-558813	1287	1105.67	3387	56.476
NC_000962.3:4246514-4249810	3297	3115.67	4407	26.0775
NC_000962.3:c2224029-2223343	687	505.692	6646	242.298
NC_000962.3:c2062674-2061178	1497	1315.67	1777	24.9009
NC_000962.3:c2370792-2370598	195	40.0316	2065	951.025
NC_000962.3:4314178-4314723	546	364.692	87177	4407.08
NC_000962.3:c4266658-4265642	1017	835.673	27656	610.138
NC_000962.3:1673440-1674183	744	562.692	2878	94.2964
NC_000962.3:2507146-2507637	492	310.703	755	44.7998
NC_000962.3:c2135867-2134890	978	796.673	4927	114.019
NC_000962.3:351848-352138	291	113.125	5704	929.597
NC_000962.3:c1220186-1219248	939	757.673	1378	33.5307
NC_000962.3:c2134872-2134273	600	418.692	1133	49.8897
