target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	114.244	37196	6438.91
NC_000962.3:c2156111-2153889	2223	2039.19	8471	82.1535
NC_000962.3:759807-763325	3519	3335.19	100750	597.411
NC_000962.3:c2289241-2288681	561	377.254	4031	211.314
NC_000962.3:1674202-1675011	810	626.19	8305	262.29
NC_000962.3:c3499915-3499262	654	470.225	11094	466.585
NC_000962.3:c17470-15590	1881	1697.19	13205	153.871
NC_000962.3:851608-852351	744	560.21	6285	221.873
NC_000962.3:c2278932-2278498	435	251.694	43218	3395.79
NC_000962.3:c2715332-2714124	1209	1025.19	479	9.24017
NC_000962.3:7302-9818	2517	2333.19	58602	496.72
NC_000962.3:565797-566396	600	416.24	7604	361.282
NC_000962.3:5240-7267	2028	1844.19	62712	672.503
NC_000962.3:4352274-4352576	303	127.218	54859	8528.02
NC_000962.3:c2409524-2408385	1140	956.19	24560	507.964
NC_000962.3:c497314-495062	2253	2069.19	13439	128.444
NC_000962.3:c3499265-3497529	1737	1553.19	16388	208.665
NC_000962.3:1128091-1129179	1089	905.19	7324	160.014
NC_000962.3:c3051424-3049052	2373	2189.19	38543	348.186
NC_000962.3:c4087257-4084453	2805	2621.19	16489	124.407
NC_000962.3:557527-558813	1287	1103.19	3907	70.0393
NC_000962.3:4246514-4249810	3297	3113.19	11389	72.3484
NC_000962.3:c2224029-2223343	687	503.21	9119	358.383
NC_000962.3:c2062674-2061178	1497	1313.19	4341	65.3749
NC_000962.3:c2370792-2370598	195	46.8952	1521	641.431
NC_000962.3:4314178-4314723	546	362.279	106988	5840.38
NC_000962.3:c4266658-4265642	1017	833.19	51158	1214.28
NC_000962.3:1673440-1674183	744	560.21	6349	224.132
NC_000962.3:2507146-2507637	492	308.353	711	45.6006
NC_000962.3:c2135867-2134890	978	794.19	7874	196.074
NC_000962.3:351848-352138	291	116.819	11208	1897.42
NC_000962.3:c1220186-1219248	939	755.19	4599	120.436
NC_000962.3:c2134872-2134273	600	416.24	1174	55.7793
NC_000962.3:1833542-1834987	1446	1262.19	41728	653.81
NC_000962.3:2066457-2068883	2427	2243.19	24525	216.218
NC_000962.3:c18762-17467	1296	1112.19	12667	225.239
NC_000962.3:c1138060-1136573	1488	1304.19	7312	110.878
NC_000962.3:1471846-1473382	1537	1353.19	21764	318.074
NC_000962.3:4351075-4352181	1107	923.19	16542	354.361
NC_000962.3:c3067945-3067193	753	569.21	445	15.461
NC_000962.3:528608-530230	1623	1439.19	35949	493.989
NC_000962.3:c1299804-1298764	1041	857.19	1557	35.922
NC_000962.3:c1133908-1133333	576	392.254	331	16.6882
NC_000962.3:c442299-441265	1035	851.19	8110	188.427
NC_000962.3:c2456743-2455631	1113	929.19	4819.81	102.583
NC_000962.3:1046136-1048415	2280	2096.19	17229	162.547
NC_000962.3:c2441720-2440332	1389	1205.19	12085	198.308
NC_000962.3:c1744836-1744426	411	228.138	742	64.3212
NC_000962.3:c1101480-1101025	456	272.477	1734	125.854
NC_000962.3:c2405398-2404616	783	599.19	19590	646.575
