target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	123.39	2434	256.003
NC_000962.3:c2156111-2153889	2223	2056.13	3543	22.3628
NC_000962.3:759807-763325	3519	3352.13	236913	917.219
NC_000962.3:c2289241-2288681	561	394.188	882	29.0383
NC_000962.3:1674202-1675011	810	643.133	317	6.39682
NC_000962.3:c3499915-3499262	654	487.188	4147	110.47
NC_000962.3:c17470-15590	1881	1714.13	728	5.51179
NC_000962.3:851608-852351	744	577.154	1581	35.5505
NC_000962.3:c2278932-2278498	435	268.255	16891	817.172
NC_000962.3:c2715332-2714124	1209	1042.13	183	2.27894
NC_000962.3:7302-9818	2517	2350.13	9668	53.3887
NC_000962.3:565797-566396	600	433.188	2624	78.6127
NC_000962.3:5240-7267	2028	1861.13	21124	147.301
NC_000962.3:4352274-4352576	303	137.645	1952	184.045
NC_000962.3:c2409524-2408385	1140	973.133	749	9.98884
NC_000962.3:c497314-495062	2253	2086.13	10558	65.6818
NC_000962.3:c3499265-3497529	1737	1570.13	15815	130.719
NC_000962.3:1128091-1129179	1089	922.133	2107	29.6535
NC_000962.3:c3051424-3049052	2373	2206.13	5796	34.0959
NC_000962.3:c4087257-4084453	2805	2638.13	3209	15.7862
NC_000962.3:557527-558813	1287	1120.13	3836	44.4441
NC_000962.3:4246514-4249810	3297	3130.13	1110	4.6022
NC_000962.3:c2224029-2223343	687	520.172	1671	41.6903
NC_000962.3:c2062674-2061178	1497	1330.13	851	8.30309
NC_000962.3:c2370792-2370598	195	47.872	1010	273.807
NC_000962.3:4314178-4314723	546	379.188	828	28.3388
NC_000962.3:c4266658-4265642	1017	850.133	13979	213.4
NC_000962.3:1673440-1674183	744	577.154	420	9.44416
NC_000962.3:2507146-2507637	492	325.188	197	7.86207
NC_000962.3:c2135867-2134890	978	811.133	321	5.13592
NC_000962.3:351848-352138	291	126.243	1035	106.399
NC_000962.3:c1220186-1219248	939	772.133	160	2.68926
NC_000962.3:c2134872-2134273	600	433.188	222	6.65092
NC_000962.3:1833542-1834987	1446	1279.13	7985	81.0149
NC_000962.3:2066457-2068883	2427	2260.13	12255	70.3696
NC_000962.3:c18762-17467	1296	1129.13	1041	11.965
NC_000962.3:c1138060-1136573	1488	1321.13	2042	20.0592
NC_000962.3:1471846-1473382	1537	1370.13	33196	314.433
NC_000962.3:4351075-4352181	1107	940.133	2958	40.8333
NC_000962.3:c3067945-3067193	753	586.154	64	1.41701
NC_000962.3:528608-530230	1623	1456.13	17395	155.035
NC_000962.3:c1299804-1298764	1041	874.133	4228	62.7716
NC_000962.3:c1133908-1133333	576	409.188	446	14.1455
NC_000962.3:c442299-441265	1035	868.133	860	12.8563
