target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	107.489	9568	1500.73
NC_000962.3:c2156111-2153889	2223	2039.09	12561	103.856
NC_000962.3:759807-763325	3519	3335.09	82005	414.549
NC_000962.3:c2289241-2288681	561	377.104	2218	99.1618
NC_000962.3:1674202-1675011	810	626.091	837	22.5388
NC_000962.3:c3499915-3499262	654	470.091	15764	565.364
NC_000962.3:c17470-15590	1881	1697.09	1487	14.7723
NC_000962.3:851608-852351	744	560.091	4988	150.145
NC_000962.3:c2278932-2278498	435	251.239	123444	8283.74
NC_000962.3:c2715332-2714124	1209	1025.09	216	3.55251
NC_000962.3:7302-9818	2517	2333.09	14287	103.241
NC_000962.3:565797-566396	600	416.091	4737	191.937
NC_000962.3:5240-7267	2028	1844.09	34830	318.431
NC_000962.3:4352274-4352576	303	121.424	4552	632.037
NC_000962.3:c2409524-2408385	1140	956.091	3160	55.7226
NC_000962.3:c497314-495062	2253	2069.09	6805	55.4488
NC_000962.3:c3499265-3497529	1737	1553.09	53057	575.956
NC_000962.3:1128091-1129179	1089	905.091	2257	42.042
NC_000962.3:c3051424-3049052	2373	2189.09	6762	52.0781
NC_000962.3:c4087257-4084453	2805	2621.09	3122	20.0814
NC_000962.3:557527-558813	1287	1103.09	10007	152.945
NC_000962.3:4246514-4249810	3297	3113.09	1672	9.05499
NC_000962.3:c2224029-2223343	687	503.091	2979	99.8315
NC_000962.3:c2062674-2061178	1497	1313.09	700	8.98767
NC_000962.3:c2370792-2370598	195	39.4742	899	383.963
NC_000962.3:4314178-4314723	546	362.116	532	24.7689
NC_000962.3:c4266658-4265642	1017	833.091	16087	325.556
NC_000962.3:1673440-1674183	744	560.091	1154	34.7369
NC_000962.3:2507146-2507637	492	308.148	480	26.2619
NC_000962.3:c2135867-2134890	978	794.091	1115	23.6727
NC_000962.3:351848-352138	291	110.267	12759	1950.81
NC_000962.3:c1220186-1219248	939	755.091	650	14.513
NC_000962.3:c2134872-2134273	600	416.091	370	14.9919
NC_000962.3:1833542-1834987	1446	1262.09	11418	152.526
NC_000962.3:2066457-2068883	2427	2243.09	11141	83.7377
NC_000962.3:c18762-17467	1296	1112.09	1164	17.6464
NC_000962.3:c1138060-1136573	1488	1304.09	1848	23.8912
NC_000962.3:1471846-1473382	1537	1353.09	14184	176.732
NC_000962.3:4351075-4352181	1107	923.091	5283	96.4894
NC_000962.3:c3067945-3067193	753	569.091	58	1.71826
NC_000962.3:528608-530230	1623	1439.09	127462	1493.26
NC_000962.3:c1299804-1298764	1041	857.091	8122	159.764
NC_000962.3:c1133908-1133333	576	392.091	197	8.47078
NC_000962.3:c442299-441265	1035	851.091	2558	50.672
NC_000962.3:c2456743-2455631	1113	929.091	417	7.56696
NC_000962.3:1046136-1048415	2280	2096.09	3293	26.4865
NC_000962.3:c2441720-2440332	1389	1205.09	3177	44.4469
NC_000962.3:c1744836-1744426	411	227.279	342	25.3694
NC_000962.3:c1101480-1101025	456	272.186	1626	100.716
NC_000962.3:c2405398-2404616	783	599.091	5618	158.1
NC_000962.3:c3919200-3917998	1203	1019.09	1109	18.3469
NC_000962.3:1364413-1365186	774	590.091	24116	689.017
NC_000962.3:c4152217-4151180	1038	854.091	1533	30.2609
NC_000962.3:c1865382-1862347	3036	2852.09	2010	11.8816
NC_000962.3:c2179436-2178957	480	296.158	2765	157.404
NC_000962.3:1352144-1353118	975	791.091	1118	23.8264
NC_000962.3:c4261146-4255945	5202	5018.09	35432	119.042
NC_000962.3:c4025039-4024344	696	512.091	26959	887.565
NC_000962.3:198534-199898	1365	1181.09	2145	30.6188
NC_000962.3:c3362986-3361130	1857	1673.09	5868	59.1309
NC_000962.3:c3836891-3835272	1620	1436.09	28069	329.525
NC_000962.3:c3907007-3906174	834	650.091	1357	35.1924
NC_000962.3:1917940-1918746	807	623.091	255	6.89974
NC_000962.3:c3343820-3343176	645	461.091	2620	95.7984
NC_000962.3:c1415840-1413960	1881	1697.09	5050	50.1684
NC_000962.3:2506278-2507153	876	692.091	318	7.74654
NC_000962.3:c858037-856682	1356	1172.09	2424	34.867
NC_000962.3:1816189-1817607	1419	1235.09	2543	34.7129
NC_000962.3:c4269833-4268925	909	725.091	839	19.508
NC_000962.3:c3841420-3840194	1227	1043.09	763	12.3324
