target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	113.002	3473	524.668
NC_000962.3:c2156111-2153889	2223	2044.86	8492	70.8946
NC_000962.3:759807-763325	3519	3340.86	122274	624.802
NC_000962.3:c2289241-2288681	561	382.971	1092	48.6769
NC_000962.3:1674202-1675011	810	631.858	571	15.427
NC_000962.3:c3499915-3499262	654	475.971	3594	128.903
NC_000962.3:c17470-15590	1881	1702.86	781	7.82958
NC_000962.3:851608-852351	744	565.889	1978	59.6707
NC_000962.3:c2278932-2278498	435	257.102	12241	812.787
NC_000962.3:c2715332-2714124	1209	1030.86	211	3.49422
NC_000962.3:7302-9818	2517	2338.86	5535	40.3999
NC_000962.3:565797-566396	600	421.971	3164	128.003
NC_000962.3:5240-7267	2028	1849.86	16234	149.814
NC_000962.3:4352274-4352576	303	127.273	2850	382.274
NC_000962.3:c2409524-2408385	1140	961.858	1052	18.6711
NC_000962.3:c497314-495062	2253	2074.86	3445	28.3444
NC_000962.3:c3499265-3497529	1737	1558.86	8534	93.4571
NC_000962.3:1128091-1129179	1089	910.858	1636	30.6619
NC_000962.3:c3051424-3049052	2373	2194.86	1214	9.44231
NC_000962.3:c4087257-4084453	2805	2626.86	2370	15.402
NC_000962.3:557527-558813	1287	1108.86	1395	21.4765
NC_000962.3:4246514-4249810	3297	3118.86	694	3.79866
NC_000962.3:c2224029-2223343	687	508.971	3077	103.205
NC_000962.3:c2062674-2061178	1497	1318.86	750	9.70799
NC_000962.3:c2370792-2370598	195	44.0243	637	247.009
NC_000962.3:4314178-4314723	546	367.971	42683	1980.19
NC_000962.3:c4266658-4265642	1017	838.858	6751	137.387
NC_000962.3:1673440-1674183	744	565.889	931	28.0856
NC_000962.3:2507146-2507637	492	314.02	281	15.2762
NC_000962.3:c2135867-2134890	978	799.858	1320	28.1726
NC_000962.3:351848-352138	291	115.822	205	30.2155
NC_000962.3:c1220186-1219248	939	760.858	306	6.86569
NC_000962.3:c2134872-2134273	600	421.971	229	9.26444
NC_000962.3:1833542-1834987	1446	1267.86	11225	151.141
NC_000962.3:2066457-2068883	2427	2248.86	8179	62.0875
NC_000962.3:c18762-17467	1296	1117.86	1022	15.6074
NC_000962.3:c1138060-1136573	1488	1309.86	1635	21.3088
NC_000962.3:1471846-1473382	1537	1358.86	14875	186.874
NC_000962.3:4351075-4352181	1107	928.858	4500	82.7045
NC_000962.3:c3067945-3067193	753	574.889	72	2.13803
NC_000962.3:528608-530230	1623	1444.86	93507	1104.8
NC_000962.3:c1299804-1298764	1041	862.858	3390	67.0697
NC_000962.3:c1133908-1133333	576	397.971	325	13.9411
NC_000962.3:c442299-441265	1035	856.858	1270	25.3024
NC_000962.3:c2456743-2455631	1113	934.858	351	6.40955
NC_000962.3:1046136-1048415	2280	2101.86	1206	9.79513
NC_000962.3:c2441720-2440332	1389	1210.86	2010	28.338
NC_000962.3:c1744836-1744426	411	233.151	207	15.1565
NC_000962.3:c1101480-1101025	456	278.035	1238	76.013
NC_000962.3:c2405398-2404616	783	604.889	3880	109.502
NC_000962.3:c3919200-3917998	1203	1024.86	477	7.94549
NC_000962.3:1364413-1365186	774	595.889	25549	731.938
NC_000962.3:c4152217-4151180	1038	859.858	851	16.8954
NC_000962.3:c1865382-1862347	3036	2857.86	582	3.47655
NC_000962.3:c2179436-2178957	480	302.02	983	55.5628
NC_000962.3:1352144-1353118	975	796.858	716	15.339
NC_000962.3:c4261146-4255945	5202	5023.86	11072	37.6231
NC_000962.3:c4025039-4024344	696	517.971	8861	292.041
NC_000962.3:198534-199898	1365	1186.86	780	11.2192
NC_000962.3:c3362986-3361130	1857	1678.86	4935	50.181
NC_000962.3:c3836891-3835272	1620	1441.86	44498	526.846
NC_000962.3:c3907007-3906174	834	655.858	1061	27.6167
NC_000962.3:1917940-1918746	807	628.858	339	9.20266
NC_000962.3:c3343820-3343176	645	466.971	760	27.7837
NC_000962.3:c1415840-1413960	1881	1702.86	970	9.72432
NC_000962.3:2506278-2507153	876	697.858	394	9.63818
NC_000962.3:c858037-856682	1356	1177.86	906	13.1311
NC_000962.3:1816189-1817607	1419	1240.86	3545	48.7708
NC_000962.3:c4269833-4268925	909	730.858	220	5.13873
NC_000962.3:c3841420-3840194	1227	1048.86	442	7.19402
NC_000962.3:3086820-3087935	1116	937.858	137535	2503.47
NC_000962.3:1002812-1003792	981	802.858	372	7.90989
NC_000962.3:3474007-3475377	1371	1192.86	227	3.24865
NC_000962.3:1973630-1976227	2598	2419.86	2816	19.8659
NC_000962.3:c3374620-3372545	2076	1897.86	596	5.36103
NC_000962.3:3023565-3024257	693	514.971	10779	357.324
NC_000962.3:c3627349-3626663	687	508.971	2131	71.4754
NC_000962.3:4116478-4117152	675	496.971	3553	122.048
NC_000962.3:4209047-4209526	480	302.02	1236	69.8633
NC_000962.3:4356693-4357535	843	664.858	2351	60.3656
NC_000962.3:c4025544-4025056	489	311.02	24651	1353.05
NC_000962.3:c2745724-2745314	411	233.151	594	43.4926
NC_000962.3:419835-421712	1878	1699.86	42809	429.921
NC_000962.3:c516892-516017	876	697.858	158	3.86506
NC_000962.3:c247318-244484	2835	2656.86	6422	41.2637
NC_000962.3:c3985445-3984144	1302	1123.86	928	14.0962
NC_000962.3:c1230971-1230660	312	135.771	1498	188.352
NC_000962.3:3834892-3835200	309	132.879	1596	205.041
NC_000962.3:1042115-1043239	1125	946.858	515	9.28514
NC_000962.3:c2763774-2763172	603	424.971	3137	126.015
NC_000962.3:1870842-1871354	513	334.971	93	4.73961
NC_000962.3:4153740-4155674	1935	1756.86	7391	71.8179
NC_000962.3:1872639-1874051	1413	1234.86	194	2.68195
NC_000962.3:c462002-459456	2547	2368.86	3150	22.7006
NC_000962.3:1594042-1595982	1941	1762.86	1807	17.4987
NC_000962.3:c309547-307877	1671	1492.86	1682	19.2342
NC_000962.3:c1967637-1965955	1683	1504.86	7875	89.3349
NC_000962.3:2518115-2519365	1251	1072.86	13403	213.268
NC_000962.3:c625480-624473	1008	829.858	395.763	8.14136
NC_000962.3:c3332754-3332071	684	505.971	480	16.195
NC_000962.3:c639956-639012	945	766.858	714	15.8946
NC_000962.3:c2924820-2924230	591	412.971	30	1.24013
NC_000962.3:3786314-3787489	1176	997.858	898	15.3629
NC_000962.3:3031788-3032498	711	532.971	1503	48.1417
NC_000962.3:c2475970-2474864	1107	928.858	886	16.2836
NC_000962.3:2487615-2489051	1437	1258.86	6200	84.0777
NC_000962.3:898831-899787	957	778.858	6536	143.258
NC_000962.3:c1494425-1492320	2106	1927.86	2637	23.3508
NC_000962.3:c3223524-3221767	1758	1579.86	348	3.76034
NC_000962.3:c3183011-3181770	1242	1063.86	1196	19.1917
NC_000962.3:89575-89919	345	167.726	782	79.5926
NC_000962.3:552614-554008	1395	1216.86	3470	48.6806
NC_000962.3:c157600-156578	1023	844.858	612	12.3661
NC_000962.3:c1057963-1057646	318	141.527	998	120.381
NC_000962.3:c2952993-2952562	432	254.102	10316	693.056
NC_000962.3:852396-853853	1458	1279.86	1672	22.3018
NC_000962.3:c2736831-2734792	2040	1861.86	2408	22.0788
NC_000962.3:3274949-3276217	1269	1090.86	677	10.5946
NC_000962.3:c2234649-2234305	345	167.726	247	25.1399
NC_000962.3:3697198-3698097	900	721.858	292	6.90553
NC_000962.3:1777859-1778539	681	502.971	59	2.00251
NC_000962.3:251782-253602	1821	1642.86	5425	56.3723
NC_000962.3:c1393052-1389357	3696	3517.86	9708	47.1105
NC_000962.3:c3725844-3724615	1230	1051.86	1811	29.3919
NC_000962.3:763370-767320	3951	3772.86	19596	88.6672
NC_000962.3:2209327-2210604	1278	1099.86	64	0.993366
NC_000962.3:3017835-3019421	1587	1408.86	12714	154.057
NC_000962.3:c2086981-2084756	2226	2047.86	7680	64.0217
NC_000962.3:351525-351818	294	118.679	239	34.3788
NC_000962.3:3022461-3023432	972	793.858	53717	1155.14
NC_000962.3:1339349-1340524	1176	997.858	19821.2	339.099
NC_000962.3:4325074-4325478	405	227.151	798	59.9729
NC_000962.3:c1588482-1587772	711	532.971	3885	124.438
NC_000962.3:c3714332-3713394	939	760.858	347	7.7856
NC_000962.3:2547749-2548939	1191	1012.86	101	1.70231
NC_000962.3:c3672297-3671845	453	275.062	1767	109.666
NC_000962.3:c3620531-3617682	2850	2671.86	4584	29.2885
NC_000962.3:1096822-1097508	687	508.971	3466	116.252
NC_000962.3:1922745-1923689	945	766.858	115	2.56005
NC_000962.3:c4040704-4038158	2547	2368.86	17966	129.473
NC_000962.3:c4361925-4360543	1383	1204.86	3742	53.0193
NC_000962.3:4034057-4034374	318	141.527	742	89.5016
NC_000962.3:c2763175-2762531	645	466.971	2580	94.3184
NC_000962.3:2726193-2726780	588	409.971	496	20.6536
NC_000962.3:c236507-234516	1992	1813.86	2677	25.1948
NC_000962.3:3339854-3342082	2229	2050.86	1533	12.7606
NC_000962.3:3096959-3097645	687	508.971	645	21.6338
NC_000962.3:c4113515-4112322	1194	1015.86	282	4.73895
NC_000962.3:c3074471-3073680	792	613.889	2264	62.9582
NC_000962.3:c4008182-4007331	852	673.858	93	2.35603
NC_000962.3:c3792353-3790848	1506	1327.86	208	2.6741
NC_000962.3:1939599-1940291	693	514.971	165	5.46975
NC_000962.3:c651504-650779	726	547.917	248	7.72686
NC_000962.3:c3318815-3318330	486	308.02	215	11.9159
NC_000962.3:2307821-2308156	336	158.873	2994	321.713
NC_000962.3:c4312669-4311704	966	787.858	937	20.3029
NC_000962.3:c1537644-1535683	1962	1783.86	1333	12.7566
NC_000962.3:c2274508-2272787	1722	1543.86	971	10.7369
NC_000962.3:1810240-1811058	819	640.858	968	25.7857
NC_000962.3:c895628-894972	657	478.971	365	13.0092
NC_000962.3:2183372-2183869	498	320.02	324	17.2836
NC_000962.3:c1852035-1848517	3519	3340.86	2144	10.9555
NC_000962.3:c909318-908485	834	655.858	8456	220.101
NC_000962.3:c4045210-4044281	930	751.858	1053	23.9088
NC_000962.3:c1039914-1037920	1995	1816.86	7275	68.3562
NC_000962.3:962890-963393	504	325.987	1872	98.0328
NC_000962.3:c1136481-1135501	981	802.858	997	21.1993
NC_000962.3:1300304-1301215	912	733.858	1038	24.1463
NC_000962.3:1130191-1131111	921	742.858	446	10.2493
NC_000962.3:1138967-1142671	3705	3526.86	1375	6.6555
NC_000962.3:1332092-1332964	873	694.858	57	1.40038
NC_000962.3:4276571-4278085	1515	1336.86	568	7.25319
NC_000962.3:1802035-1802667	633	454.971	890	33.3943
NC_000962.3:519073-519567	495	317.02	342	18.4164
NC_000962.3:c518396-517803	594	415.971	99	4.06292
NC_000962.3:398658-399524	867	688.858	254	6.29463
NC_000962.3:1505075-1505890	816	637.858	480	12.8465
NC_000962.3:1453204-1455012	1809	1630.86	56005	586.242
NC_000962.3:1448028-1449371	1344	1165.86	669	9.79595
NC_000962.3:584695-585423	729	550.917	220	6.81715
NC_000962.3:570539-571648	1110	931.858	196	3.59064
NC_000962.3:c2420608-2419001	1608	1429.86	3606	43.0526
NC_000962.3:c3014147-3013683	465	287.035	1206	71.7264
NC_000962.3:c2864412-2863207	1206	1027.86	1945	32.3037
NC_000962.3:3486509-3487711	1203	1024.86	263	4.38085
NC_000962.3:c3192201-3191644	558	379.971	588	26.4176
NC_000962.3:2519396-2520712	1317	1138.86	6010	90.0888
NC_000962.3:3516746-3519166	2421	2242.86	710	5.40409
NC_000962.3:3694054-3694860	807	628.858	483	13.1117
