target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	107.876	3530	457.513
NC_000962.3:c2156111-2153889	2223	2039.46	4379	30.0203
NC_000962.3:759807-763325	3519	3335.46	143001	599.43
NC_000962.3:c2289241-2288681	561	377.636	722	26.7312
NC_000962.3:1674202-1675011	810	626.502	257	5.73543
NC_000962.3:c3499915-3499262	654	470.569	3980	118.254
NC_000962.3:c17470-15590	1881	1697.46	630	5.18915
NC_000962.3:851608-852351	744	560.502	2792	69.6456
NC_000962.3:c2278932-2278498	435	251.722	14454	802.827
NC_000962.3:c2715332-2714124	1209	1025.46	150	2.04516
NC_000962.3:7302-9818	2517	2333.46	7336	43.9556
NC_000962.3:565797-566396	600	416.583	3625	121.664
NC_000962.3:5240-7267	2028	1844.46	19618	148.71
NC_000962.3:4352274-4352576	303	122.017	2574	294.946
NC_000962.3:c2409524-2408385	1140	956.46	1144	16.723
NC_000962.3:c497314-495062	2253	2069.46	4298	29.0379
NC_000962.3:c3499265-3497529	1737	1553.46	12532	112.791
NC_000962.3:1128091-1129179	1089	905.46	1749	27.007
NC_000962.3:c3051424-3049052	2373	2189.46	2551	16.2903
NC_000962.3:c4087257-4084453	2805	2621.46	2398	12.7897
NC_000962.3:557527-558813	1287	1103.46	4255	53.9136
NC_000962.3:4246514-4249810	3297	3113.46	728	3.26921
NC_000962.3:c2224029-2223343	687	503.537	1610	44.7043
NC_000962.3:c2062674-2061178	1497	1313.46	944	10.0487
NC_000962.3:c2370792-2370598	195	40.3303	754	261.394
NC_000962.3:4314178-4314723	546	362.636	669	25.7935
NC_000962.3:c4266658-4265642	1017	833.46	5328	89.3788
NC_000962.3:1673440-1674183	744	560.502	396	9.8781
NC_000962.3:2507146-2507637	492	308.658	158	7.15706
NC_000962.3:c2135867-2134890	978	794.46	588	10.3481
NC_000962.3:351848-352138	291	110.676	1362	172.059
NC_000962.3:c1220186-1219248	939	755.46	151	2.79461
NC_000962.3:c2134872-2134273	600	416.583	183	6.14192
NC_000962.3:1833542-1834987	1446	1262.46	7596	84.1245
NC_000962.3:2066457-2068883	2427	2243.46	10352	64.5151
NC_000962.3:c18762-17467	1296	1112.46	815	10.243
NC_000962.3:c1138060-1136573	1488	1304.46	1581	16.9456
NC_000962.3:1471846-1473382	1537	1353.46	9862	101.877
NC_000962.3:4351075-4352181	1107	923.46	3676	55.6561
NC_000962.3:c3067945-3067193	753	569.502	68	1.66943
NC_000962.3:528608-530230	1623	1439.46	99351	965.001
NC_000962.3:c1299804-1298764	1041	857.46	6050	98.6499
NC_000962.3:c1133908-1133333	576	392.597	154	5.4844
NC_000962.3:c442299-441265	1035	851.46	834	13.6948
NC_000962.3:c2456743-2455631	1113	929.46	266	4.00135
NC_000962.3:1046136-1048415	2280	2096.46	988	6.58909
NC_000962.3:c2441720-2440332	1389	1205.46	1664	19.2999
NC_000962.3:c1744836-1744426	411	227.803	152	9.3291
NC_000962.3:c1101480-1101025	456	272.696	2972	152.379
NC_000962.3:c2405398-2404616	783	599.502	6896	160.828
NC_000962.3:c3919200-3917998	1203	1019.46	383	5.25271
NC_000962.3:1364413-1365186	774	590.502	20689	489.862
NC_000962.3:c4152217-4151180	1038	854.46	547	8.95057
NC_000962.3:c1865382-1862347	3036	2852.46	692	3.39189
