target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	109.758	28077	5829.11
NC_000962.3:c2156111-2153889	2223	2037.74	5371	60.0612
NC_000962.3:759807-763325	3519	3333.74	89319	610.52
NC_000962.3:c2289241-2288681	561	375.795	2883	174.816
NC_000962.3:1674202-1675011	810	624.737	5115	186.567
NC_000962.3:c3499915-3499262	654	468.756	1823	88.619
NC_000962.3:c17470-15590	1881	1695.74	15774	211.968
NC_000962.3:851608-852351	744	558.756	4643	189.349
NC_000962.3:c2278932-2278498	435	250.176	999	90.9927
NC_000962.3:c2715332-2714124	1209	1023.74	243	5.40885
NC_000962.3:7302-9818	2517	2331.74	75560	738.414
NC_000962.3:565797-566396	600	414.77	5926	325.568
NC_000962.3:5240-7267	2028	1842.74	90433	1118.28
NC_000962.3:4352274-4352576	303	123.188	38558	7132.36
NC_000962.3:c2409524-2408385	1140	954.737	37326	890.872
NC_000962.3:c497314-495062	2253	2067.74	13457	148.3
NC_000962.3:c3499265-3497529	1737	1551.74	3342	49.0767
NC_000962.3:1128091-1129179	1089	903.737	4658	117.448
NC_000962.3:c3051424-3049052	2373	2187.74	45352	472.377
NC_000962.3:c4087257-4084453	2805	2619.74	12056	104.866
NC_000962.3:557527-558813	1287	1101.74	5574	115.286
NC_000962.3:4246514-4249810	3297	3111.74	6653	48.7194
NC_000962.3:c2224029-2223343	687	501.756	7471	339.292
NC_000962.3:c2062674-2061178	1497	1311.74	4715	81.9072
NC_000962.3:c2370792-2370598	195	41.7493	1671	912.04
NC_000962.3:4314178-4314723	546	360.795	63449	4007.29
NC_000962.3:c4266658-4265642	1017	831.737	45582	1248.81
NC_000962.3:1673440-1674183	744	558.756	4106	167.449
NC_000962.3:2507146-2507637	492	306.929	724	53.7511
NC_000962.3:c2135867-2134890	978	792.737	2649	76.1448
NC_000962.3:351848-352138	291	112.499	9161	1855.58
NC_000962.3:c1220186-1219248	939	753.737	3325	100.522
NC_000962.3:c2134872-2134273	600	414.77	627	34.4467
NC_000962.3:1833542-1834987	1446	1260.74	35832	647.64
NC_000962.3:2066457-2068883	2427	2241.74	25609	260.313
NC_000962.3:c18762-17467	1296	1110.74	15027	308.282
NC_000962.3:c1138060-1136573	1488	1302.74	7049	123.299
NC_000962.3:1471846-1473382	1537	1351.74	12840	216.451
NC_000962.3:4351075-4352181	1107	921.737	22955	567.489
NC_000962.3:c3067945-3067193	753	567.756	307	12.3215
NC_000962.3:528608-530230	1623	1437.74	15390	243.919
NC_000962.3:c1299804-1298764	1041	855.737	2136	56.8785
NC_000962.3:c1133908-1133333	576	390.77	282	16.4443
NC_000962.3:c442299-441265	1035	849.737	8279	222.014
NC_000962.3:c2456743-2455631	1113	927.737	4288.83	105.342
NC_000962.3:1046136-1048415	2280	2094.74	18560	201.9
NC_000962.3:c2441720-2440332	1389	1203.74	12818	242.648
NC_000962.3:c1744836-1744426	411	226.471	882	88.745
NC_000962.3:c1101480-1101025	456	271.073	2461	206.877
NC_000962.3:c2405398-2404616	783	597.737	26571	1012.94
NC_000962.3:c3919200-3917998	1203	1017.74	2734	61.2139
NC_000962.3:1364413-1365186	774	588.756	11924	461.502
NC_000962.3:c4152217-4151180	1038	852.737	9440	252.258
NC_000962.3:c1865382-1862347	3036	2850.74	4486	35.8583
NC_000962.3:c2179436-2178957	480	294.979	11330	875.237
NC_000962.3:1352144-1353118	975	789.737	3394	97.9302
NC_000962.3:c4261146-4255945	5202	5016.74	116560	529.438
NC_000962.3:c4025039-4024344	696	510.756	40118	1789.83
NC_000962.3:198534-199898	1365	1179.74	10494	202.695
NC_000962.3:c3362986-3361130	1857	1671.74	14940	203.643
NC_000962.3:c3836891-3835272	1620	1434.74	10310	163.747
NC_000962.3:c3907007-3906174	834	648.737	17577	617.396
NC_000962.3:1917940-1918746	807	621.737	3113	114.093
NC_000962.3:c3343820-3343176	645	459.756	31688	1570.56
NC_000962.3:c1415840-1413960	1881	1695.74	3958	53.1869
NC_000962.3:2506278-2507153	876	690.737	956	31.5379
NC_000962.3:c858037-856682	1356	1170.74	869	16.9141
NC_000962.3:1816189-1817607	1419	1233.74	4771	88.1199
NC_000962.3:c4269833-4268925	909	723.737	11482	361.513
NC_000962.3:c3841420-3840194	1227	1041.74	6526	142.75
NC_000962.3:3086820-3087935	1116	930.737	7034	172.212
NC_000962.3:1002812-1003792	981	795.737	553	15.8359
NC_000962.3:3474007-3475377	1371	1185.74	1058	20.3322
NC_000962.3:1973630-1976227	2598	2412.74	19504	184.205
NC_000962.3:c3374620-3372545	2076	1890.74	2389	28.792
NC_000962.3:3023565-3024257	693	507.756	8655	388.418
NC_000962.3:c3627349-3626663	687	501.756	17553	797.16
NC_000962.3:4116478-4117152	675	489.756	4435	206.348
NC_000962.3:4209047-4209526	480	294.979	2623	202.625
NC_000962.3:4356693-4357535	843	657.737	5726	198.375
NC_000962.3:c4025544-4025056	489	303.96	75826	5684.46
NC_000962.3:c2745724-2745314	411	226.471	963	96.895
NC_000962.3:419835-421712	1878	1692.74	20095	270.512
NC_000962.3:c516892-516017	876	690.737	1355	44.7007
NC_000962.3:c247318-244484	2835	2649.74	57786	496.944
NC_000962.3:c3985445-3984144	1302	1116.74	860	17.5483
NC_000962.3:c1230971-1230660	312	131.259	2391	415.086
NC_000962.3:3834892-3835200	309	128.547	1393	246.931
NC_000962.3:1042115-1043239	1125	939.737	10327	250.412
NC_000962.3:c2763774-2763172	603	417.77	4450	242.722
NC_000962.3:1870842-1871354	513	327.898	242	16.8176
NC_000962.3:4153740-4155674	1935	1749.74	20423	265.971
NC_000962.3:1872639-1874051	1413	1227.74	1818	33.7424
NC_000962.3:c462002-459456	2547	2361.74	2914	28.1155
NC_000962.3:1594042-1595982	1941	1755.74	6425	83.3875
NC_000962.3:c309547-307877	1671	1485.74	4482	68.7412
NC_000962.3:c1967637-1965955	1683	1497.74	651	9.9045
NC_000962.3:2518115-2519365	1251	1065.74	26921	575.61
NC_000962.3:c625480-624473	1008	822.737	2508.69	69.4821
NC_000962.3:c3332754-3332071	684	498.756	2770	126.555
NC_000962.3:c639956-639012	945	759.737	2682	80.442
NC_000962.3:c2924820-2924230	591	405.77	3087	173.358
NC_000962.3:3786314-3787489	1176	990.737	2012	46.2761
