"transcript_id" "Gene_id" "symbol" "Locus_tag"
"885041" "NC_000962.3:1-1524" 885041 "dnaA" "Rv0001"
"887092" "NC_000962.3:2052-3260" 887092 "dnaN" "Rv0002"
"887089" "NC_000962.3:3280-4437" 887089 "recF" "Rv0003"
"887088" "NC_000962.3:4434-4997" 887088 "Rv0004" "Rv0004"
"887081" "NC_000962.3:5240-7267" 887081 "gyrB" "Rv0005"
"887105" "NC_000962.3:7302-9818" 887105 "gyrA" "Rv0006"
"885982" "NC_000962.3:9914-10828" 885982 "Rv0007" "Rv0007"
"887085" "NC_000962.3:c12311-11874" 887085 "Rv0008c" "Rv0008c"
"887087" "NC_000962.3:12468-13016" 887087 "ppiA" "Rv0009"
"887082" "NC_000962.3:c13558-13133" 887082 "Rv0010c" "Rv0010c"
"887074" "NC_000962.3:c13995-13714" 887074 "Rv0011c" "Rv0011c"
"887083" "NC_000962.3:14089-14877" 887083 "Rv0012" "Rv0012"
"885955" "NC_000962.3:14914-15612" 885955 "trpG" "Rv0013"
"887072" "NC_000962.3:c17470-15590" 887072 "pknB" "Rv0014c"
"885953" "NC_000962.3:c18762-17467" 885953 "pknA" "Rv0015c"
"887078" "NC_000962.3:c20234-18759" 887078 "pbpA" "Rv0016c"
"887075" "NC_000962.3:c21640-20231" 887075 "rodA" "Rv0017c"
"887070" "NC_000962.3:c23181-21637" 887070 "pstP" "Rv0018c"
"887079" "NC_000962.3:c23737-23270" 887079 "fhaB" "Rv0019c"
"887067" "NC_000962.3:c25444-23861" 887067 "fhaA" "Rv0020c"
"887066" "NC_000962.3:c26881-25913" 887066 "Rv0021c" "Rv0021c"
"887071" "NC_000962.3:c27442-27023" 887071 "whiB5" "Rv0022c"
"887062" "NC_000962.3:27595-28365" 887062 "Rv0023" "Rv0023"
"887061" "NC_000962.3:28362-29207" 887061 "Rv0024" "Rv0024"
"887060" "NC_000962.3:29245-29607" 887060 "Rv0025" "Rv0025"
"887057" "NC_000962.3:29722-31068" 887057 "Rv0026" "Rv0026"
"887054" "NC_000962.3:31189-31506" 887054 "Rv0027" "Rv0027"
"885812" "NC_000962.3:31514-31819" 885812 "Rv0028" "Rv0028"
"887053" "NC_000962.3:32057-33154" 887053 "Rv0029" "Rv0029"
"887051" "NC_000962.3:33224-33553" 887051 "Rv0030" "Rv0030"
"887050" "NC_000962.3:34295-36610" 887050 "bioF2" "Rv0032"
"887052" "NC_000962.3:36607-36870" 887052 "acpA" "Rv0033"
"887046" "NC_000962.3:36867-37262" 887046 "Rv0034" "Rv0034"
"887048" "NC_000962.3:37259-38947" 887048 "fadD34" "Rv0035"
"887043" "NC_000962.3:c39829-39056" 887043 "Rv0036c" "Rv0036c"
"887042" "NC_000962.3:c41202-39877" 887042 "Rv0037c" "Rv0037c"
"887045" "NC_000962.3:41304-41912" 887045 "Rv0038" "Rv0038"
"887038" "NC_000962.3:c42351-42004" 887038 "Rv0039c" "Rv0039c"
"887037" "NC_000962.3:c43365-42433" 887037 "mtc28" "Rv0040c"
"887040" "NC_000962.3:43562-46471" 887040 "leuS" "Rv0041"
"887034" "NC_000962.3:c47207-46581" 887034 "Rv0042c" "Rv0042c"
"887032" "NC_000962.3:c48100-47366" 887032 "Rv0043c" "Rv0043c"
"887030" "NC_000962.3:c49027-48233" 887030 "Rv0044c" "Rv0044c"
"887029" "NC_000962.3:c49939-49043" 887029 "Rv0045c" "Rv0045c"
"887028" "NC_000962.3:c51124-50021" 887028 "ino1" "Rv0046c"
"887031" "NC_000962.3:c51727-51185" 887031 "Rv0047c" "Rv0047c"
"887027" "NC_000962.3:c52697-51828" 887027 "Rv0048c" "Rv0048c"
"887024" "NC_000962.3:52831-53244" 887024 "Rv0049" "Rv0049"
"887065" "NC_000962.3:53663-55699" 887065 "ponA1" "Rv0050"
"887018" "NC_000962.3:55696-57378" 887018 "Rv0051" "Rv0051"
"887015" "NC_000962.3:57410-57973" 887015 "Rv0052" "Rv0052"
"887020" "NC_000962.3:58192-58482" 887020 "rpsF" "Rv0053"
"887013" "NC_000962.3:58586-59080" 887013 "ssb" "Rv0054"
"887022" "NC_000962.3:59122-59376" 887022 "rpsR1" "Rv0055"
"887010" "NC_000962.3:59409-59867" 887010 "rplI" "Rv0056"
"887008" "NC_000962.3:59896-60417" 887008 "Rv0057" "Rv0057"
"887009" "NC_000962.3:60396-63020" 887009 "dnaB" "Rv0058"
"887006" "NC_000962.3:63200-63892" 887006 "Rv0059" "Rv0059"
"887004" "NC_000962.3:63909-64967" 887004 "Rv0060" "Rv0060"
"14515843" "NC_000962.3:c65350-65012" 14515843 "Rv0061c" "Rv0061c"
"887007" "NC_000962.3:65552-66694" 887007 "celA1" "Rv0062"
"886999" "NC_000962.3:66923-68362" 886999 "Rv0063" "Rv0063"
"19394667" "NC_000962.3:68418-68579" 19394667 "Rv0063a" "Rv0063a"
"886996" "NC_000962.3:68620-71559" 886996 "Rv0064" "Rv0064"
"14515844" "NC_000962.3:71589-71828" 14515844 "vapB1" "Rv0064A"
"886993" "NC_000962.3:71821-72222" 886993 "vapC1" "Rv0065"
"887016" "NC_000962.3:c74511-72274" 887016 "icd2" "Rv0066c"
"886991" "NC_000962.3:c75198-74629" 886991 "Rv0067c" "Rv0067c"
"886989" "NC_000962.3:75301-76212" 886989 "Rv0068" "Rv0068"
"886986" "NC_000962.3:c77622-76237" 886986 "sdaA" "Rv0069c"
"886983" "NC_000962.3:c78896-77619" 886983 "glyA2" "Rv0070c"
"886988" "NC_000962.3:79486-80193" 886988 "Rv0071" "Rv0071"
"886984" "NC_000962.3:80624-81673" 886984 "Rv0072" "Rv0072"
"886977" "NC_000962.3:81676-82668" 886977 "Rv0073" "Rv0073"
"886976" "NC_000962.3:82748-83983" 886976 "Rv0074" "Rv0074"
"886982" "NC_000962.3:83996-85168" 886982 "Rv0075" "Rv0075"
"886992" "NC_000962.3:c85572-85183" 886992 "Rv0076c" "Rv0076c"
"886969" "NC_000962.3:c86466-85636" 886969 "Rv0077c" "Rv0077c"
"886990" "NC_000962.3:86528-87133" 886990 "Rv0078" "Rv0078"
"3205053" "NC_000962.3:c87801-87208" 3205053 "Rv0078A" "Rv0078A"
"14515845" "NC_000962.3:c88004-87798" 14515845 "Rv0078B" "Rv0078B"
"886995" "NC_000962.3:88204-89025" 886995 "Rv0079" "Rv0079"
"886966" "NC_000962.3:89022-89480" 886966 "Rv0080" "Rv0080"
"887012" "NC_000962.3:89575-89919" 887012 "Rv0081" "Rv0081"
"886968" "NC_000962.3:89924-90403" 886968 "Rv0082" "Rv0082"
"886965" "NC_000962.3:90400-92322" 886965 "Rv0083" "Rv0083"
"886959" "NC_000962.3:92328-93278" 886959 "hycD" "Rv0084"
"886973" "NC_000962.3:93289-93951" 886973 "hycP" "Rv0085"
"886963" "NC_000962.3:93951-95417" 886963 "hycQ" "Rv0086"
"886956" "NC_000962.3:95414-96892" 886956 "hycE" "Rv0087"
"886954" "NC_000962.3:96927-97601" 886954 "Rv0088" "Rv0088"
"886949" "NC_000962.3:97758-98351" 886949 "Rv0089" "Rv0089"
"886961" "NC_000962.3:98480-99250" 886961 "Rv0090" "Rv0090"
"886953" "NC_000962.3:99684-100451" 886953 "mtn" "Rv0091"
"886946" "NC_000962.3:100583-102868" 886946 "ctpA" "Rv0092"
"886945" "NC_000962.3:c103663-102815" 886945 "Rv0093c" "Rv0093c"
"886943" "NC_000962.3:c104663-103710" 886943 "Rv0094c" "Rv0094c"
"886940" "NC_000962.3:c105215-104805" 886940 "Rv0095c" "Rv0095c"
