target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	117.521	3316	380.362
NC_000962.3:c2156111-2153889	2223	2049.24	3233	21.2673
NC_000962.3:759807-763325	3519	3345.24	64617	260.387
NC_000962.3:c2289241-2288681	561	387.236	444	15.4563
NC_000962.3:1674202-1675011	810	636.236	225	4.7672
NC_000962.3:c3499915-3499262	654	480.236	5527	155.143
NC_000962.3:c17470-15590	1881	1707.24	453	3.57687
NC_000962.3:851608-852351	744	570.236	855	20.212
NC_000962.3:c2278932-2278498	435	261.325	34295	1769.08
NC_000962.3:c2715332-2714124	1209	1035.24	42	0.546901
NC_000962.3:7302-9818	2517	2343.24	2660	15.3026
NC_000962.3:565797-566396	600	426.236	1288	40.7347
NC_000962.3:5240-7267	2028	1854.24	7409	53.8633
NC_000962.3:4352274-4352576	303	131.711	2482	254.026
NC_000962.3:c2409524-2408385	1140	966.236	832	11.6075
NC_000962.3:c497314-495062	2253	2079.24	1931	12.5192
NC_000962.3:c3499265-3497529	1737	1563.24	15527	133.894
NC_000962.3:1128091-1129179	1089	915.236	495	7.29073
NC_000962.3:c3051424-3049052	2373	2199.24	671	4.11291
NC_000962.3:c4087257-4084453	2805	2631.24	811	4.15489
NC_000962.3:557527-558813	1287	1113.24	667	8.07676
NC_000962.3:4246514-4249810	3297	3123.24	283	1.22146
NC_000962.3:c2224029-2223343	687	513.236	922	24.2166
NC_000962.3:c2062674-2061178	1497	1323.24	412	4.19719
NC_000962.3:c2370792-2370598	195	48.6176	193	53.5133
NC_000962.3:4314178-4314723	546	372.236	10117	366.38
NC_000962.3:c4266658-4265642	1017	843.236	3851	61.5635
NC_000962.3:1673440-1674183	744	570.236	256	6.05179
NC_000962.3:2507146-2507637	492	318.253	111	4.70164
NC_000962.3:c2135867-2134890	978	804.236	195	3.26851
NC_000962.3:351848-352138	291	120.34	306	34.2776
NC_000962.3:c1220186-1219248	939	765.236	114	2.00821
NC_000962.3:c2134872-2134273	600	426.236	76	2.4036
NC_000962.3:1833542-1834987	1446	1272.24	2437	25.8218
NC_000962.3:2066457-2068883	2427	2253.24	2252	13.4729
NC_000962.3:c18762-17467	1296	1122.24	505	6.06605
NC_000962.3:c1138060-1136573	1488	1314.24	367	3.76436
NC_000962.3:1471846-1473382	1537	1363.24	10583	104.649
NC_000962.3:4351075-4352181	1107	933.236	1282	18.518
NC_000962.3:c3067945-3067193	753	579.236	12	0.27927
NC_000962.3:528608-530230	1623	1449.24	4287	39.8761
NC_000962.3:c1299804-1298764	1041	867.236	585	9.09321
NC_000962.3:c1133908-1133333	576	402.236	82	2.7481
NC_000962.3:c442299-441265	1035	861.236	671	10.5027
NC_000962.3:c2456743-2455631	1113	939.236	131	1.88016
NC_000962.3:1046136-1048415	2280	2106.24	499	3.19368
NC_000962.3:c2441720-2440332	1389	1215.24	554	6.14537
NC_000962.3:c1744836-1744426	411	237.425	165	9.36821
NC_000962.3:c1101480-1101025	456	282.312	286	13.6564
NC_000962.3:c2405398-2404616	783	609.236	1211	26.7952
NC_000962.3:c3919200-3917998	1203	1029.24	167	2.18726
NC_000962.3:1364413-1365186	774	600.236	1733	38.9202
NC_000962.3:c4152217-4151180	1038	864.236	523	8.1577
NC_000962.3:c1865382-1862347	3036	2862.24	191	0.899552
NC_000962.3:c2179436-2178957	480	306.253	450	19.8076
NC_000962.3:1352144-1353118	975	801.236	189	3.1798
NC_000962.3:c4261146-4255945	5202	5028.24	5577	14.9515
NC_000962.3:c4025039-4024344	696	522.236	5094	131.489
NC_000962.3:198534-199898	1365	1191.24	333	3.7683
NC_000962.3:c3362986-3361130	1857	1683.24	885	7.08756
