target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	99.4612	23002	4958.16
NC_000962.3:c2156111-2153889	2223	2024.27	8118	85.9782
NC_000962.3:759807-763325	3519	3320.27	134323	867.331
NC_000962.3:c2289241-2288681	561	362.314	2070	122.488
NC_000962.3:1674202-1675011	810	611.273	10053	352.589
NC_000962.3:c3499915-3499262	654	455.273	2571	121.071
NC_000962.3:c17470-15590	1881	1682.27	13871	176.775
NC_000962.3:851608-852351	744	545.273	3673	144.416
NC_000962.3:c2278932-2278498	435	236.894	4288	388.07
NC_000962.3:c2715332-2714124	1209	1010.27	769	16.3191
NC_000962.3:7302-9818	2517	2318.27	45054	416.656
NC_000962.3:565797-566396	600	401.301	6528	348.753
NC_000962.3:5240-7267	2028	1829.27	47472	556.375
NC_000962.3:4352274-4352576	303	112.208	32036	6121.03
NC_000962.3:c2409524-2408385	1140	941.273	19999	455.513
NC_000962.3:c497314-495062	2253	2054.27	11316	118.098
NC_000962.3:c3499265-3497529	1737	1538.27	4994	69.6023
NC_000962.3:1128091-1129179	1089	890.273	8158	196.458
NC_000962.3:c3051424-3049052	2373	2174.27	29438	290.27
NC_000962.3:c4087257-4084453	2805	2606.27	26621	218.984
NC_000962.3:557527-558813	1287	1088.27	8718	171.746
NC_000962.3:4246514-4249810	3297	3098.27	18031	124.77
NC_000962.3:c2224029-2223343	687	488.273	12283	539.325
NC_000962.3:c2062674-2061178	1497	1298.27	4972	82.1058
NC_000962.3:c2370792-2370598	195	38.697	818	453.194
NC_000962.3:4314178-4314723	546	347.326	37298	2302.27
NC_000962.3:c4266658-4265642	1017	818.273	75818	1986.47
NC_000962.3:1673440-1674183	744	545.273	8511	334.638
NC_000962.3:2507146-2507637	492	293.463	675	49.3128
NC_000962.3:c2135867-2134890	978	779.273	9815	270.028
NC_000962.3:351848-352138	291	101.963	11129	2340.03
NC_000962.3:c1220186-1219248	939	740.273	3243	93.9212
NC_000962.3:c2134872-2134273	600	401.301	1695	90.554
NC_000962.3:1833542-1834987	1446	1247.27	43226	743.005
NC_000962.3:2066457-2068883	2427	2228.27	25566	245.982
NC_000962.3:c18762-17467	1296	1097.27	15915	310.957
NC_000962.3:c1138060-1136573	1488	1289.27	9449	157.127
NC_000962.3:1471846-1473382	1537	1338.27	6685	107.094
NC_000962.3:4351075-4352181	1107	908.273	14653	345.875
NC_000962.3:c3067945-3067193	753	554.273	890	34.4251
NC_000962.3:528608-530230	1623	1424.27	15310	230.457
NC_000962.3:c1299804-1298764	1041	842.273	2056	52.3334
NC_000962.3:c1133908-1133333	576	377.314	874	49.6612
NC_000962.3:c442299-441265	1035	836.273	6601	169.227
NC_000962.3:c2456743-2455631	1113	914.273	5200	121.937
