target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	113.861	8019	913.923
NC_000962.3:c2156111-2153889	2223	2045.13	54450	345.493
NC_000962.3:759807-763325	3519	3341.13	104756	406.863
NC_000962.3:c2289241-2288681	561	383.147	1453	49.2111
NC_000962.3:1674202-1675011	810	632.135	652	13.3845
NC_000962.3:c3499915-3499262	654	476.147	61629	1679.6
NC_000962.3:c17470-15590	1881	1703.13	1214	9.24981
NC_000962.3:851608-852351	744	566.135	1363	31.242
NC_000962.3:c2278932-2278498	435	257.259	625259	31539.3
NC_000962.3:c2715332-2714124	1209	1031.13	202	2.54214
NC_000962.3:7302-9818	2517	2339.13	7956	44.137
NC_000962.3:565797-566396	600	422.147	3230	99.2891
NC_000962.3:5240-7267	2028	1850.13	10431	73.162
NC_000962.3:4352274-4352576	303	127.966	10022	1016.3
NC_000962.3:c2409524-2408385	1140	962.135	455	6.13675
NC_000962.3:c497314-495062	2253	2075.13	2146	13.4198
NC_000962.3:c3499265-3497529	1737	1559.13	95599	795.67
NC_000962.3:1128091-1129179	1089	911.135	1444	20.5659
NC_000962.3:c3051424-3049052	2373	2195.13	977	5.77559
NC_000962.3:c4087257-4084453	2805	2627.13	2520	12.4475
NC_000962.3:557527-558813	1287	1109.13	65106	761.728
NC_000962.3:4246514-4249810	3297	3119.13	691	2.8748
NC_000962.3:c2224029-2223343	687	509.135	1195	30.4578
NC_000962.3:c2062674-2061178	1497	1319.13	1182	11.6276
NC_000962.3:c2370792-2370598	195	44.8926	648	187.311
NC_000962.3:4314178-4314723	546	368.147	40366	1422.84
NC_000962.3:c4266658-4265642	1017	839.135	8237	127.38
NC_000962.3:1673440-1674183	744	566.135	681	15.6096
NC_000962.3:2507146-2507637	492	314.155	166	6.85688
NC_000962.3:c2135867-2134890	978	800.135	1050	17.029
NC_000962.3:351848-352138	291	116.617	560	62.3147
NC_000962.3:c1220186-1219248	939	761.135	212	3.61441
NC_000962.3:c2134872-2134273	600	422.147	321	9.86743
NC_000962.3:1833542-1834987	1446	1268.13	12751	130.479
NC_000962.3:2066457-2068883	2427	2249.13	5729	33.0542
NC_000962.3:c18762-17467	1296	1118.13	690	8.00789
NC_000962.3:c1138060-1136573	1488	1310.13	1467	14.5304
NC_000962.3:1471846-1473382	1537	1359.13	109417	1044.69
NC_000962.3:4351075-4352181	1107	929.135	3786	52.8768
NC_000962.3:c3067945-3067193	753	575.135	57	1.28608
NC_000962.3:528608-530230	1623	1445.13	30604	274.81
NC_000962.3:c1299804-1298764	1041	863.135	2201	33.0906
NC_000962.3:c1133908-1133333	576	398.147	658	21.4459
NC_000962.3:c442299-441265	1035	857.135	2289	34.6545
NC_000962.3:c2456743-2455631	1113	935.135	197	2.73373
NC_000962.3:1046136-1048415	2280	2102.13	878	5.41997
NC_000962.3:c2441720-2440332	1389	1211.13	3044	32.6148
NC_000962.3:c1744836-1744426	411	233.448	29	1.61202
NC_000962.3:c1101480-1101025	456	278.192	969	45.2003
NC_000962.3:c2405398-2404616	783	605.135	3000	64.3328
NC_000962.3:c3919200-3917998	1203	1025.13	409	5.17733
NC_000962.3:1364413-1365186	774	596.135	8678	188.903
NC_000962.3:c4152217-4151180	1038	860.135	735	11.0888
NC_000962.3:c1865382-1862347	3036	2858.13	1050	4.76727
NC_000962.3:c2179436-2178957	480	302.163	1088	46.7251
NC_000962.3:1352144-1353118	975	797.135	794	12.9256
