target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	130.027	3482	367.338
NC_000962.3:c2156111-2153889	2223	2062.9	19543	129.952
NC_000962.3:759807-763325	3519	3358.9	122141	498.811
NC_000962.3:c2289241-2288681	561	400.97	1399	47.8605
NC_000962.3:1674202-1675011	810	649.939	716	15.1117
NC_000962.3:c3499915-3499262	654	493.97	4403	122.27
NC_000962.3:c17470-15590	1881	1720.9	1230	9.80438
NC_000962.3:851608-852351	744	583.97	1455	34.1778
NC_000962.3:c2278932-2278498	435	275.032	15577	776.912
NC_000962.3:c2715332-2714124	1209	1048.9	187	2.44556
NC_000962.3:7302-9818	2517	2356.9	9725	56.6004
NC_000962.3:565797-566396	600	439.97	2110	65.7856
NC_000962.3:5240-7267	2028	1867.9	20444	150.135
NC_000962.3:4352274-4352576	303	144.446	2658	252.418
NC_000962.3:c2409524-2408385	1140	979.905	1066	14.9226
NC_000962.3:c497314-495062	2253	2092.9	8113	53.1746
NC_000962.3:c3499265-3497529	1737	1576.9	13400	116.566
NC_000962.3:1128091-1129179	1089	928.905	1913	28.2498
NC_000962.3:c3051424-3049052	2373	2212.9	1171	7.25882
NC_000962.3:c4087257-4084453	2805	2644.9	1985	10.2949
NC_000962.3:557527-558813	1287	1126.9	991	12.0631
NC_000962.3:4246514-4249810	3297	3136.9	857	3.74758
NC_000962.3:c2224029-2223343	687	526.97	2131	55.4714
NC_000962.3:c2062674-2061178	1497	1336.9	997	10.2298
NC_000962.3:c2370792-2370598	195	53.2456	692	178.277
NC_000962.3:4314178-4314723	546	385.97	19372	688.482
NC_000962.3:c4266658-4265642	1017	856.905	6776	108.471
NC_000962.3:1673440-1674183	744	583.97	924	21.7047
NC_000962.3:2507146-2507637	492	331.988	446	18.4283
NC_000962.3:c2135867-2134890	978	817.905	339	5.6855
NC_000962.3:351848-352138	291	132.908	573	59.1393
NC_000962.3:c1220186-1219248	939	778.905	296	5.2129
NC_000962.3:c2134872-2134273	600	439.97	159	4.95731
NC_000962.3:1833542-1834987	1446	1285.9	6494	69.2748
NC_000962.3:2066457-2068883	2427	2266.9	9509	57.5405
NC_000962.3:c18762-17467	1296	1135.9	1362	16.4478
NC_000962.3:c1138060-1136573	1488	1327.9	1356	14.0076
NC_000962.3:1471846-1473382	1537	1376.9	37268	371.282
NC_000962.3:4351075-4352181	1107	946.905	3969	57.4972
NC_000962.3:c3067945-3067193	753	592.97	79	1.82754
NC_000962.3:528608-530230	1623	1462.9	31596	296.27
NC_000962.3:c1299804-1298764	1041	880.905	2246	34.9746
NC_000962.3:c1133908-1133333	576	415.97	269	8.87078
NC_000962.3:c442299-441265	1035	874.905	1391	21.8091
NC_000962.3:c2456743-2455631	1113	952.905	398	5.72935
NC_000962.3:1046136-1048415	2280	2119.9	1464	9.4732
NC_000962.3:c2441720-2440332	1389	1228.9	1533	17.1118
NC_000962.3:c1744836-1744426	411	251.045	141	7.70441
NC_000962.3:c1101480-1101025	456	296.018	1583	73.3558
NC_000962.3:c2405398-2404616	783	622.97	3642	80.1945
NC_000962.3:c3919200-3917998	1203	1042.9	427	5.61636
NC_000962.3:1364413-1365186	774	613.97	9384	209.659
NC_000962.3:c4152217-4151180	1038	877.905	1795	28.0472
NC_000962.3:c1865382-1862347	3036	2875.9	796	3.79674
NC_000962.3:c2179436-2178957	480	319.988	1391	59.6301
NC_000962.3:1352144-1353118	975	814.905	858	14.4428
NC_000962.3:c4261146-4255945	5202	5041.9	24952	67.8864
NC_000962.3:c4025039-4024344	696	535.97	11081	283.603
NC_000962.3:198534-199898	1365	1204.9	731	8.32217
NC_000962.3:c3362986-3361130	1857	1696.9	3423	27.6708
NC_000962.3:c3836891-3835272	1620	1459.9	15165	142.492
NC_000962.3:c3907007-3906174	834	673.939	958	19.4992
NC_000962.3:1917940-1918746	807	646.939	332	7.03958
NC_000962.3:c3343820-3343176	645	484.97	647	18.3004
NC_000962.3:c1415840-1413960	1881	1720.9	1281	10.2109
NC_000962.3:2506278-2507153	876	715.905	486	9.31222
NC_000962.3:c858037-856682	1356	1195.9	1686	19.339
NC_000962.3:1816189-1817607	1419	1258.9	3830	41.7328
NC_000962.3:c4269833-4268925	909	748.905	265	4.85391
NC_000962.3:c3841420-3840194	1227	1066.9	281	3.61287
NC_000962.3:3086820-3087935	1116	955.905	68683	985.614
NC_000962.3:1002812-1003792	981	820.905	350	5.84854
NC_000962.3:3474007-3475377	1371	1210.9	175	1.98244
NC_000962.3:1973630-1976227	2598	2437.9	3269	18.3937
NC_000962.3:c3374620-3372545	2076	1915.9	466	3.33645
NC_000962.3:3023565-3024257	693	532.97	9751	250.968
NC_000962.3:c3627349-3626663	687	526.97	2152	56.0181
NC_000962.3:4116478-4117152	675	514.97	3182	84.7598
NC_000962.3:4209047-4209526	480	319.988	683	29.2792
NC_000962.3:4356693-4357535	843	682.939	2164	43.4658
NC_000962.3:c4025544-4025056	489	328.988	17969	749.232
NC_000962.3:c2745724-2745314	411	251.045	442	24.1514
NC_000962.3:419835-421712	1878	1717.9	26965	215.315
NC_000962.3:c516892-516017	876	715.905	115	2.20351
NC_000962.3:c247318-244484	2835	2674.9	6013	30.8358
NC_000962.3:c3985445-3984144	1302	1141.9	1004	12.0608
NC_000962.3:c1230971-1230660	312	153.156	995	89.1172
NC_000962.3:3834892-3835200	309	150.247	627	57.2445
NC_000962.3:1042115-1043239	1125	964.905	415	5.89978
NC_000962.3:c2763774-2763172	603	442.97	2474	76.6121
NC_000962.3:1870842-1871354	513	352.97	130	5.05216
NC_000962.3:4153740-4155674	1935	1774.9	10630	82.1543
NC_000962.3:1872639-1874051	1413	1252.9	363	3.9743
NC_000962.3:c462002-459456	2547	2386.9	1798	10.333
NC_000962.3:1594042-1595982	1941	1780.9	2675	20.6042
NC_000962.3:c309547-307877	1671	1510.9	1153	10.468
NC_000962.3:c1967637-1965955	1683	1522.9	14122	127.202
NC_000962.3:2518115-2519365	1251	1090.9	11180	140.581
NC_000962.3:c625480-624473	1008	847.905	378.818	6.12852
NC_000962.3:c3332754-3332071	684	523.97	389	10.1839
NC_000962.3:c639956-639012	945	784.905	1135	19.8359
NC_000962.3:c2924820-2924230	591	430.97	51	1.62329
NC_000962.3:3786314-3787489	1176	1015.9	495	6.68381
NC_000962.3:3031788-3032498	711	550.97	1253	31.1957
NC_000962.3:c2475970-2474864	1107	946.905	821	11.8935
NC_000962.3:2487615-2489051	1437	1276.9	1443	15.5017
NC_000962.3:898831-899787	957	796.905	11757	202.377
NC_000962.3:c1494425-1492320	2106	1945.9	5963	42.0354
NC_000962.3:c3223524-3221767	1758	1597.9	355	3.04754
NC_000962.3:c3183011-3181770	1242	1081.9	1874	23.7603
NC_000962.3:89575-89919	345	185.453	835	61.7625
NC_000962.3:552614-554008	1395	1234.9	2827	31.4025
NC_000962.3:c157600-156578	1023	862.905	894	14.2117
NC_000962.3:c1057963-1057646	318	158.992	748	64.5354
NC_000962.3:c2952993-2952562	432	272.032	33054	1666.77
NC_000962.3:852396-853853	1458	1297.9	2228	23.5475
NC_000962.3:c2736831-2734792	2040	1879.9	2862.46	20.887
NC_000962.3:3274949-3276217	1269	1108.9	907	11.2198
NC_000962.3:c2234649-2234305	345	185.453	238	17.6042
NC_000962.3:3697198-3698097	900	739.905	221	4.09721
NC_000962.3:1777859-1778539	681	520.97	49	1.29019
NC_000962.3:251782-253602	1821	1660.9	7250	59.8777
NC_000962.3:c1393052-1389357	3696	3535.9	9917	38.4726
NC_000962.3:c3725844-3724615	1230	1069.9	1461	18.7317
NC_000962.3:763370-767320	3951	3790.9	30940	111.957
NC_000962.3:2209327-2210604	1278	1117.9	92	1.1289
NC_000962.3:3017835-3019421	1587	1426.9	12473	119.908
NC_000962.3:c2086981-2084756	2226	2065.9	8169	54.2414
NC_000962.3:351525-351818	294	135.786	465	46.9754
NC_000962.3:3022461-3023432	972	811.905	42209	713.135
NC_000962.3:1339349-1340524	1176	1015.9	2625.77	35.4549
NC_000962.3:4325074-4325478	405	245.07	531	29.7219
NC_000962.3:c1588482-1587772	711	550.97	2713	67.5451
NC_000962.3:c3714332-3713394	939	778.905	314	5.5299
NC_000962.3:2547749-2548939	1191	1030.9	96	1.27739
NC_000962.3:c3672297-3671845	453	293.018	763	35.7192
NC_000962.3:c3620531-3617682	2850	2689.9	5600	28.5577
NC_000962.3:1096822-1097508	687	526.97	3395	88.3742
NC_000962.3:1922745-1923689	945	784.905	227	3.96717
NC_000962.3:c4040704-4038158	2547	2386.9	14715	84.5663
NC_000962.3:c4361925-4360543	1383	1222.9	3765	42.2323
NC_000962.3:4034057-4034374	318	158.992	531	45.8132
NC_000962.3:c2763175-2762531	645	484.97	2292	64.8293
NC_000962.3:2726193-2726780	588	427.97	587	18.8147
NC_000962.3:c236507-234516	1992	1831.9	3012	22.554
NC_000962.3:3339854-3342082	2229	2068.9	1044	6.92201
NC_000962.3:3096959-3097645	687	526.97	648	16.8679
NC_000962.3:c4113515-4112322	1194	1033.9	523	6.93894
NC_000962.3:c3074471-3073680	792	631.939	2122	46.0619
NC_000962.3:c4008182-4007331	852	691.905	119	2.35924
NC_000962.3:c3792353-3790848	1506	1345.9	161	1.64091
NC_000962.3:1939599-1940291	693	532.97	116	2.98557
NC_000962.3:c651504-650779	726	565.97	233	5.64721
NC_000962.3:c3318815-3318330	486	325.988	173	7.27976
NC_000962.3:2307821-2308156	336	176.581	2026	157.386
NC_000962.3:c4312669-4311704	966	805.905	1066	18.1445
NC_000962.3:c1537644-1535683	1962	1801.9	1306	9.94222
NC_000962.3:c2274508-2272787	1722	1561.9	2431	21.3502
NC_000962.3:1810240-1811058	819	658.939	769	16.0086
NC_000962.3:c895628-894972	657	496.97	333	9.19149
NC_000962.3:2183372-2183869	498	337.988	252	10.2276
NC_000962.3:c1852035-1848517	3519	3358.9	2562	10.4629
NC_000962.3:c909318-908485	834	673.939	3005	61.164
NC_000962.3:c4045210-4044281	930	769.905	710	12.6501
NC_000962.3:c1039914-1037920	1995	1834.9	10810	80.8135
NC_000962.3:962890-963393	504	343.988	3503	139.691
NC_000962.3:c1136481-1135501	981	820.905	805	13.4516
NC_000962.3:1300304-1301215	912	751.905	886	16.1638
NC_000962.3:1130191-1131111	921	760.905	353	6.3638
NC_000962.3:1138967-1142671	3705	3544.9	1974	7.63861
NC_000962.3:1332092-1332964	873	712.905	58	1.11601
NC_000962.3:4276571-4278085	1515	1354.9	721	7.29959
NC_000962.3:1802035-1802667	633	472.97	2236	64.85
NC_000962.3:519073-519567	495	334.988	239	9.78681
NC_000962.3:c518396-517803	594	433.97	82	2.59195
NC_000962.3:398658-399524	867	706.905	298	5.78266
NC_000962.3:1505075-1505890	816	655.939	576	12.0457
NC_000962.3:1453204-1455012	1809	1648.9	39806	331.15
NC_000962.3:1448028-1449371	1344	1183.9	961	11.1347
NC_000962.3:584695-585423	729	568.97	327	7.8837
NC_000962.3:570539-571648	1110	949.905	213	3.0759
NC_000962.3:c2420608-2419001	1608	1447.9	6856	64.9535
NC_000962.3:c3014147-3013683	465	305.018	1141	51.3135
NC_000962.3:c2864412-2863207	1206	1045.9	2445	32.067
NC_000962.3:3486509-3487711	1203	1042.9	248	3.26196
NC_000962.3:c3192201-3191644	558	397.97	661	22.7836
NC_000962.3:2519396-2520712	1317	1156.9	7407	87.8247
NC_000962.3:3516746-3519166	2421	2260.9	1564	9.48913
NC_000962.3:3694054-3694860	807	646.939	415	8.79947
NC_000962.3:2520743-2522164	1422	1261.9	7787	84.6478
NC_000962.3:c2849332-2840123	9210	9049.9	61687	93.5022
NC_000962.3:c3193158-3192373	786	625.939	1267	27.7662
NC_000962.3:c3403162-3401933	1230	1069.9	580	7.43627
NC_000962.3:c3703865-3703464	402	242.094	37	2.09647
NC_000962.3:3727488-3728627	1140	979.905	1517	21.2361
NC_000962.3:c3773567-3773016	552	391.97	61	2.13476
