"Gene_ID" "Entrez_Gene_ID" "Gene_Symbol" "Protein_ID" "Product" "Chrom" "Start" "End" "length" "Strand" "Type" "Locus_Tag"
"1" "Rv0001" 885041 "dnaA" "NP_214515.1" "chromosomal replication initiator protein DnaA" "NC_000962.3" 1 1524 1523 "+" "protein_coding" "Rv0001"
"6" "Rv0002" 887092 "dnaN" "NP_214516.1" "DNA polymerase III subunit beta" "NC_000962.3" 2052 3260 1208 "+" "protein_coding" "Rv0002"
"10" "Rv0003" 887089 "recF" "NP_214517.1" "DNA replication/repair protein RecF" "NC_000962.3" 3280 4437 1157 "+" "protein_coding" "Rv0003"
"14" "Rv0004" 887088 "." "NP_214518.1" "hypothetical protein" "NC_000962.3" 4434 4997 563 "+" "protein_coding" "Rv0004"
"17" "Rv0005" 887081 "gyrB" "NP_214519.2" "DNA gyrase subunit B" "NC_000962.3" 5240 7267 2027 "+" "protein_coding" "Rv0005"
"20" "Rv0006" 887105 "gyrA" "NP_214520.1" "DNA gyrase subunit A" "NC_000962.3" 7302 9818 2516 "+" "protein_coding" "Rv0006"
"23" "Rv0007" 885982 "." "NP_214521.1" "membrane protein" "NC_000962.3" 9914 10828 914 "+" "protein_coding" "Rv0007"
"25" "Rv0008c" 887085 "." "NP_214522.1" "cell wall synthesis protein CwsA" "NC_000962.3" 11874 12311 437 "-" "protein_coding" "Rv0008c"
"28" "Rv0009" 887087 "ppiA" "NP_214523.1" "iron-regulated peptidyl-prolyl cis-trans isomerase PpiA" "NC_000962.3" 12468 13016 548 "+" "protein_coding" "Rv0009"
"31" "Rv0010c" 887082 "." "NP_214524.1" "membrane protein" "NC_000962.3" 13133 13558 425 "-" "protein_coding" "Rv0010c"
"33" "Rv0011c" 887074 "." "NP_214525.1" "cell division protein CrgA" "NC_000962.3" 13714 13995 281 "-" "protein_coding" "Rv0011c"
"35" "Rv0012" 887083 "." "NP_214526.1" "membrane protein" "NC_000962.3" 14089 14877 788 "+" "protein_coding" "Rv0012"
"38" "Rv0013" 885955 "trpG" "YP_177615.1" "anthranilate synthase component II" "NC_000962.3" 14914 15612 698 "+" "protein_coding" "Rv0013"
"42" "Rv0014c" 887072 "pknB" "NP_214528.1" "serine/threonine-protein kinase PknB" "NC_000962.3" 15590 17470 1880 "-" "protein_coding" "Rv0014c"
"44" "Rv0015c" 885953 "pknA" "NP_214529.1" "serine/threonine-protein kinase PknA" "NC_000962.3" 17467 18762 1295 "-" "protein_coding" "Rv0015c"
"47" "Rv0016c" 887078 "pbpA" "NP_214530.1" "penicillin-binding protein PbpA" "NC_000962.3" 18759 20234 1475 "-" "protein_coding" "Rv0016c"
"49" "Rv0017c" 887075 "rodA" "NP_214531.1" "cell division protein RodA" "NC_000962.3" 20231 21640 1409 "-" "protein_coding" "Rv0017c"
"52" "Rv0018c" 887070 "pstP" "NP_214532.1" "phosphoserine/threonine phosphatase PstP" "NC_000962.3" 21637 23181 1544 "-" "protein_coding" "Rv0018c"
"54" "Rv0019c" 887079 "fhaB" "NP_214533.1" "FHA domain-containing protein FhaB" "NC_000962.3" 23270 23737 467 "-" "protein_coding" "Rv0019c"
"56" "Rv0020c" 887067 "fhaA" "NP_214534.1" "FHA domain-containing protein FhaA" "NC_000962.3" 23861 25444 1583 "-" "protein_coding" "Rv0020c"
"57" "Rv0021c" 887066 "." "NP_214535.1" "hypothetical protein" "NC_000962.3" 25913 26881 968 "-" "protein_coding" "Rv0021c"
"60" "Rv0022c" 887071 "whiB5" "NP_214536.1" "transcriptional regulator WhiB5" "NC_000962.3" 27023 27442 419 "-" "protein_coding" "Rv0022c"
"62" "Rv0023" 887062 "." "NP_214537.1" "transcriptional regulator" "NC_000962.3" 27595 28365 770 "+" "protein_coding" "Rv0023"
"65" "Rv0024" 887061 "." "NP_214538.1" "NLP/P60 family protein" "NC_000962.3" 28362 29207 845 "+" "protein_coding" "Rv0024"
"68" "Rv0025" 887060 "." "NP_214539.1" "hypothetical protein" "NC_000962.3" 29245 29607 362 "+" "protein_coding" "Rv0025"
"70" "Rv0026" 887057 "." "NP_214540.1" "hypothetical protein" "NC_000962.3" 29722 31068 1346 "+" "protein_coding" "Rv0026"
"71" "Rv0027" 887054 "." "NP_214541.1" "hypothetical protein" "NC_000962.3" 31189 31506 317 "+" "protein_coding" "Rv0027"
"73" "Rv0028" 885812 "." "NP_214542.1" "hypothetical protein" "NC_000962.3" 31514 31819 305 "+" "protein_coding" "Rv0028"
"75" "Rv0029" 887053 "." "NP_214543.1" "hypothetical protein" "NC_000962.3" 32057 33154 1097 "+" "protein_coding" "Rv0029"
"77" "Rv0030" 887051 "." "NP_214544.1" "hypothetical protein" "NC_000962.3" 33224 33553 329 "+" "protein_coding" "Rv0030"
"80" "Rv0032" 887050 "bioF2" "NP_214546.1" "8-amino-7-oxononanoate synthase" "NC_000962.3" 34295 36610 2315 "+" "protein_coding" "Rv0032"
"82" "Rv0033" 887052 "acpA" "NP_214547.1" "acyl carrier protein AcpA" "NC_000962.3" 36607 36870 263 "+" "protein_coding" "Rv0033"
"84" "Rv0034" 887046 "." "NP_214548.1" "hypothetical protein" "NC_000962.3" 36867 37262 395 "+" "protein_coding" "Rv0034"
"87" "Rv0035" 887048 "fadD34" "YP_177686.1" "fatty-acid--CoA ligase FadD34" "NC_000962.3" 37259 38947 1688 "+" "protein_coding" "Rv0035"
"92" "Rv0036c" 887043 "." "NP_214550.1" "hypothetical protein" "NC_000962.3" 39056 39829 773 "-" "protein_coding" "Rv0036c"
"94" "Rv0037c" 887042 "." "NP_214551.1" "MFS-type transporter" "NC_000962.3" 39877 41202 1325 "-" "protein_coding" "Rv0037c"
"96" "Rv0038" 887045 "." "NP_214552.1" "hypothetical protein" "NC_000962.3" 41304 41912 608 "+" "protein_coding" "Rv0038"
"98" "Rv0039c" 887038 "." "NP_214553.1" "transmembrane protein" "NC_000962.3" 42004 42351 347 "-" "protein_coding" "Rv0039c"
"101" "Rv0040c" 887037 "mtc28" "NP_214554.2" "hypothetical protein" "NC_000962.3" 42433 43365 932 "-" "protein_coding" "Rv0040c"
"104" "Rv0041" 887040 "leuS" "NP_214555.1" "leucine--tRNA ligase" "NC_000962.3" 43562 46471 2909 "+" "protein_coding" "Rv0041"
"106" "Rv0042c" 887034 "." "NP_214556.1" "transcriptional regulator" "NC_000962.3" 46581 47207 626 "-" "protein_coding" "Rv0042c"
"107" "Rv0043c" 887032 "." "NP_214557.1" "HTH-type transcriptional regulator" "NC_000962.3" 47366 48100 734 "-" "protein_coding" "Rv0043c"
"109" "Rv0044c" 887030 "." "NP_214558.1" "oxidoreductase" "NC_000962.3" 48233 49027 794 "-" "protein_coding" "Rv0044c"
"112" "Rv0045c" 887029 "." "NP_214559.1" "hydrolase" "NC_000962.3" 49043 49939 896 "-" "protein_coding" "Rv0045c"
"113" "Rv0046c" 887028 "ino1" "NP_214560.1" "inositol-3-phosphate synthase" "NC_000962.3" 50021 51124 1103 "-" "protein_coding" "Rv0046c"
"115" "Rv0047c" 887031 "." "NP_214561.1" "hypothetical protein" "NC_000962.3" 51185 51727 542 "-" "protein_coding" "Rv0047c"
"117" "Rv0048c" 887027 "." "NP_214562.1" "membrane protein" "NC_000962.3" 51828 52697 869 "-" "protein_coding" "Rv0048c"
"118" "Rv0049" 887024 "." "NP_214563.1" "hypothetical protein" "NC_000962.3" 52831 53244 413 "+" "protein_coding" "Rv0049"
"119" "Rv0050" 887065 "ponA1" "YP_177687.1" "bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase" "NC_000962.3" 53663 55699 2036 "+" "protein_coding" "Rv0050"
"120" "Rv0051" 887018 "." "NP_214565.1" "transmembrane protein" "NC_000962.3" 55696 57378 1682 "+" "protein_coding" "Rv0051"
"121" "Rv0052" 887015 "." "NP_214566.3" "hypothetical protein" "NC_000962.3" 57410 57973 563 "+" "protein_coding" "Rv0052"
"122" "Rv0053" 887020 "rpsF" "NP_214567.1" "30S ribosomal protein S6" "NC_000962.3" 58192 58482 290 "+" "protein_coding" "Rv0053"
"123" "Rv0054" 887013 "ssb" "NP_214568.1" "single-strand DNA-binding protein" "NC_000962.3" 58586 59080 494 "+" "protein_coding" "Rv0054"
"124" "Rv0055" 887022 "rpsR1" "YP_177688.1" "30S ribosomal protein S18" "NC_000962.3" 59122 59376 254 "+" "protein_coding" "Rv0055"
"125" "Rv0056" 887010 "rplI" "NP_214570.1" "50S ribosomal protein L9" "NC_000962.3" 59409 59867 458 "+" "protein_coding" "Rv0056"
"126" "Rv0057" 887008 "." "NP_214571.1" "hypothetical protein" "NC_000962.3" 59896 60417 521 "+" "protein_coding" "Rv0057"
"127" "Rv0058" 887009 "dnaB" "NP_214572.1" "replicative DNA helicase" "NC_000962.3" 60396 63020 2624 "+" "protein_coding" "Rv0058"
"128" "Rv0059" 887006 "." "NP_214573.1" "hypothetical protein" "NC_000962.3" 63200 63892 692 "+" "protein_coding" "Rv0059"
"129" "Rv0060" 887004 "." "NP_214574.1" "hypothetical protein" "NC_000962.3" 63909 64967 1058 "+" "protein_coding" "Rv0060"
"130" "Rv0061c" 14515843 "." "YP_007408697.1" "hypothetical protein" "NC_000962.3" 65012 65350 338 "-" "protein_coding" "Rv0061c"
"131" "Rv0062" 887007 "celA1" "YP_177689.1" "cellulase CelA" "NC_000962.3" 65552 66694 1142 "+" "protein_coding" "Rv0062"
"132" "Rv0063" 886999 "." "NP_214577.1" "oxidoreductase" "NC_000962.3" 66923 68362 1439 "+" "protein_coding" "Rv0063"
"133" "Rv0063a" 19394667 "." "YP_009030026.1" "hypothetical protein" "NC_000962.3" 68418 68579 161 "+" "protein_coding" "Rv0063a"
"135" "Rv0064" 886996 "." "NP_214578.1" "transmembrane protein" "NC_000962.3" 68620 71559 2939 "+" "protein_coding" "Rv0064"
"134" "Rv0064A" 14515844 "vapB1" "YP_007408701.1" "antitoxin VapB1" "NC_000962.3" 71589 71828 239 "+" "protein_coding" "Rv0064A"
"136" "Rv0065" 886993 "vapC1" "NP_214579.1" "ribonuclease VapC1" "NC_000962.3" 71821 72222 401 "+" "protein_coding" "Rv0065"
"137" "Rv0066c" 887016 "icd2" "NP_214580.1" "isocitrate dehydrogenase" "NC_000962.3" 72274 74511 2237 "-" "protein_coding" "Rv0066c"
