target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	109.682	20417	4704.93
NC_000962.3:c2156111-2153889	2223	2035.14	4499	55.8754
NC_000962.3:759807-763325	3519	3331.14	64614	490.267
NC_000962.3:c2289241-2288681	561	373.211	2558	173.238
NC_000962.3:1674202-1675011	810	622.136	3025	122.896
NC_000962.3:c3499915-3499262	654	466.156	2831	153.499
NC_000962.3:c17470-15590	1881	1693.14	8086	120.709
NC_000962.3:851608-852351	744	556.156	3698	168.062
NC_000962.3:c2278932-2278498	435	248.062	15429	1572.09
NC_000962.3:c2715332-2714124	1209	1021.14	192	4.75243
NC_000962.3:7302-9818	2517	2329.14	38431	417.047
NC_000962.3:565797-566396	600	412.186	5939	364.182
NC_000962.3:5240-7267	2028	1840.14	47449	651.741
NC_000962.3:4352274-4352576	303	122.927	32449	6671.95
NC_000962.3:c2409524-2408385	1140	952.136	12436	330.126
NC_000962.3:c497314-495062	2253	2065.14	4468	54.6843
NC_000962.3:c3499265-3497529	1737	1549.14	5339	87.1101
NC_000962.3:1128091-1129179	1089	901.136	3295	92.4194
NC_000962.3:c3051424-3049052	2373	2185.14	17566	203.185
NC_000962.3:c4087257-4084453	2805	2617.14	9035	87.2569
NC_000962.3:557527-558813	1287	1099.14	2523	58.0181
NC_000962.3:4246514-4249810	3297	3109.14	4816	39.1512
NC_000962.3:c2224029-2223343	687	499.156	6679	338.2
NC_000962.3:c2062674-2061178	1497	1309.14	4151	80.1431
NC_000962.3:c2370792-2370598	195	43.4662	1176	683.839
NC_000962.3:4314178-4314723	546	358.235	15675	1105.95
NC_000962.3:c4266658-4265642	1017	829.136	41354	1260.64
NC_000962.3:1673440-1674183	744	556.156	4166	189.331
NC_000962.3:2507146-2507637	492	304.434	404	33.5418
NC_000962.3:c2135867-2134890	978	790.136	3926	125.587
NC_000962.3:351848-352138	291	112.315	23339	5252.21
NC_000962.3:c1220186-1219248	939	751.136	3095	104.145
NC_000962.3:c2134872-2134273	600	412.186	706	43.2922
NC_000962.3:1833542-1834987	1446	1258.14	27515	552.764
NC_000962.3:2066457-2068883	2427	2239.14	17394	196.344
NC_000962.3:c18762-17467	1296	1108.14	7885	179.848
NC_000962.3:c1138060-1136573	1488	1300.14	4340	84.3721
NC_000962.3:1471846-1473382	1537	1349.14	14860	278.395
