target_id	length	eff_length	est_counts	tpm
NC_000962.3:4352609-4352896	288	114.506	29627	5956.8
NC_000962.3:c2156111-2153889	2223	2043.23	5640	63.5503
NC_000962.3:759807-763325	3519	3339.23	82578	569.342
NC_000962.3:c2289241-2288681	561	381.275	2693	162.612
NC_000962.3:1674202-1675011	810	630.227	4856	177.393
NC_000962.3:c3499915-3499262	654	474.246	1728	83.887
NC_000962.3:c17470-15590	1881	1701.23	15682	212.224
NC_000962.3:851608-852351	744	564.246	4762	194.301
NC_000962.3:c2278932-2278498	435	255.546	936	84.3262
NC_000962.3:c2715332-2714124	1209	1029.23	236	5.27905
NC_000962.3:7302-9818	2517	2337.23	73361	722.636
NC_000962.3:565797-566396	600	420.262	5732	314.009
NC_000962.3:5240-7267	2028	1848.23	87793	1093.6
NC_000962.3:4352274-4352576	303	128.172	34266	6154.96
NC_000962.3:c2409524-2408385	1140	960.227	32586	781.289
NC_000962.3:c497314-495062	2253	2073.23	13738	152.557
NC_000962.3:c3499265-3497529	1737	1557.23	3562	52.6619
NC_000962.3:1128091-1129179	1089	909.227	4553	115.287
NC_000962.3:c3051424-3049052	2373	2193.23	45376	476.319
NC_000962.3:c4087257-4084453	2805	2625.23	11592	101.659
NC_000962.3:557527-558813	1287	1107.23	6236	129.665
NC_000962.3:4246514-4249810	3297	3117.23	6340	46.8248
NC_000962.3:c2224029-2223343	687	507.246	7267	329.831
NC_000962.3:c2062674-2061178	1497	1317.23	3511	61.3656
NC_000962.3:c2370792-2370598	195	44.6345	1411	727.799
NC_000962.3:4314178-4314723	546	366.275	73482	4618.79
NC_000962.3:c4266658-4265642	1017	837.227	46659	1283.06
NC_000962.3:1673440-1674183	744	564.246	3861	157.538
NC_000962.3:2507146-2507637	492	312.386	646	47.6097
NC_000962.3:c2135867-2134890	978	798.227	2733	78.8257
NC_000962.3:351848-352138	291	117.23	8773	1722.91
NC_000962.3:c1220186-1219248	939	759.227	3406	103.283
NC_000962.3:c2134872-2134273	600	420.262	653	35.7724
NC_000962.3:1833542-1834987	1446	1266.23	37302	678.228
NC_000962.3:2066457-2068883	2427	2247.23	24990	256.02
NC_000962.3:c18762-17467	1296	1116.23	15770	325.263
NC_000962.3:c1138060-1136573	1488	1308.23	7226	127.166
NC_000962.3:1471846-1473382	1537	1357.23	16769	284.452
NC_000962.3:4351075-4352181	1107	927.227	22970	570.335
NC_000962.3:c3067945-3067193	753	573.227	371	14.9005
NC_000962.3:528608-530230	1623	1443.23	13538	215.961
NC_000962.3:c1299804-1298764	1041	861.227	2165	57.8755
NC_000962.3:c1133908-1133333	576	396.275	325	18.8817
NC_000962.3:c442299-441265	1035	855.227	8349	224.754
NC_000962.3:c2456743-2455631	1113	933.227	4041.09	99.6933
NC_000962.3:1046136-1048415	2280	2100.23	17447	191.254
NC_000962.3:c2441720-2440332	1389	1209.23	13191	251.145
NC_000962.3:c1744836-1744426	411	231.722	839	83.3585
NC_000962.3:c1101480-1101025	456	276.475	2346	195.356
NC_000962.3:c2405398-2404616	783	603.227	26126	997.119
NC_000962.3:c3919200-3917998	1203	1023.23	2794	62.865
NC_000962.3:1364413-1365186	774	594.227	11453	443.733
NC_000962.3:c4152217-4151180	1038	858.227	8559	229.602
NC_000962.3:c1865382-1862347	3036	2856.23	3618	29.1629
NC_000962.3:c2179436-2178957	480	300.437	11357	870.292
NC_000962.3:1352144-1353118	975	795.227	3397	98.3466
NC_000962.3:c4261146-4255945	5202	5022.23	113618	520.842
NC_000962.3:c4025039-4024344	696	516.246	39881	1778.54
NC_000962.3:198534-199898	1365	1185.23	11155	216.682
NC_000962.3:c3362986-3361130	1857	1677.23	15356	210.786
NC_000962.3:c3836891-3835272	1620	1440.23	9421	150.599
NC_000962.3:c3907007-3906174	834	654.227	17581	618.685
NC_000962.3:1917940-1918746	807	627.227	2683	98.4806
NC_000962.3:c3343820-3343176	645	465.246	29182	1444.07
NC_000962.3:c1415840-1413960	1881	1701.23	3842	51.9936
NC_000962.3:2506278-2507153	876	696.227	867	28.6697
NC_000962.3:c858037-856682	1356	1176.23	842	16.4807
NC_000962.3:1816189-1817607	1419	1239.23	4574	84.9768
NC_000962.3:c4269833-4268925	909	729.227	10906	344.316
NC_000962.3:c3841420-3840194	1227	1047.23	6224	136.831
NC_000962.3:3086820-3087935	1116	936.227	7388	181.677
NC_000962.3:1002812-1003792	981	801.227	542	15.5739
